utc_timestamp,forecast_de_load_mw
2020-01-01 00:00:00+00:00,44630.8
2020-01-01 01:00:00+00:00,43297.2
2020-01-01 02:00:00+00:00,42184.2
2020-01-01 03:00:00+00:00,42008.2
2020-01-01 04:00:00+00:00,42106.9
2020-01-01 05:00:00+00:00,42248.7
2020-01-01 06:00:00+00:00,43159.5
2020-01-01 07:00:00+00:00,43652.4
2020-01-01 08:00:00+00:00,45685.4
2020-01-01 09:00:00+00:00,48047.0
2020-01-01 10:00:00+00:00,50512.4
2020-01-01 11:00:00+00:00,51161.7
2020-01-01 12:00:00+00:00,50025.4
2020-01-01 13:00:00+00:00,49789.3
2020-01-01 14:00:00+00:00,50335.9
2020-01-01 15:00:00+00:00,52434.4
2020-01-01 16:00:00+00:00,55982.0
2020-01-01 17:00:00+00:00,56285.2
2020-01-01 18:00:00+00:00,55202.3
2020-01-01 19:00:00+00:00,52377.9
2020-01-01 20:00:00+00:00,50370.9
2020-01-01 21:00:00+00:00,49415.4
2020-01-01 22:00:00+00:00,46148.3
2020-01-01 23:00:00+00:00,43277.5
2020-01-02 00:00:00+00:00,41383.6
2020-01-02 01:00:00+00:00,40650.4
2020-01-02 02:00:00+00:00,40584.7
2020-01-02 03:00:00+00:00,41883.3
2020-01-02 04:00:00+00:00,44557.8
2020-01-02 05:00:00+00:00,49838.2
2020-01-02 06:00:00+00:00,55485.8
2020-01-02 07:00:00+00:00,59118.0
2020-01-02 08:00:00+00:00,61811.3
2020-01-02 09:00:00+00:00,64126.3
2020-01-02 10:00:00+00:00,65549.5
2020-01-02 11:00:00+00:00,65988.5
2020-01-02 12:00:00+00:00,65505.7
2020-01-02 13:00:00+00:00,64652.0
2020-01-02 14:00:00+00:00,64368.1
2020-01-02 15:00:00+00:00,65532.4
2020-01-02 16:00:00+00:00,68589.6
2020-01-02 17:00:00+00:00,68351.6
2020-01-02 18:00:00+00:00,66660.6
2020-01-02 19:00:00+00:00,62756.5
2020-01-02 20:00:00+00:00,59643.2
2020-01-02 21:00:00+00:00,57516.2
2020-01-02 22:00:00+00:00,53154.5
2020-01-02 23:00:00+00:00,49393.7
2020-01-03 00:00:00+00:00,47237.8
2020-01-03 01:00:00+00:00,46241.9
2020-01-03 02:00:00+00:00,46251.6
2020-01-03 03:00:00+00:00,47284.9
2020-01-03 04:00:00+00:00,49864.9
2020-01-03 05:00:00+00:00,55513.6
2020-01-03 06:00:00+00:00,60767.1
2020-01-03 07:00:00+00:00,63869.3
2020-01-03 08:00:00+00:00,65472.0
2020-01-03 09:00:00+00:00,66836.6
2020-01-03 10:00:00+00:00,68296.6
2020-01-03 11:00:00+00:00,68171.5
2020-01-03 12:00:00+00:00,67150.1
2020-01-03 13:00:00+00:00,65588.3
2020-01-03 14:00:00+00:00,65040.8
2020-01-03 15:00:00+00:00,66647.6
2020-01-03 16:00:00+00:00,69463.7
2020-01-03 17:00:00+00:00,68810.3
2020-01-03 18:00:00+00:00,66675.8
2020-01-03 19:00:00+00:00,62415.5
2020-01-03 20:00:00+00:00,59236.2
2020-01-03 21:00:00+00:00,57200.8
2020-01-03 22:00:00+00:00,53703.3
2020-01-03 23:00:00+00:00,50160.0
2020-01-04 00:00:00+00:00,47262.7
2020-01-04 01:00:00+00:00,45803.5
2020-01-04 02:00:00+00:00,45309.1
2020-01-04 03:00:00+00:00,45259.5
2020-01-04 04:00:00+00:00,44834.0
2020-01-04 05:00:00+00:00,44818.6
2020-01-04 06:00:00+00:00,48464.5
2020-01-04 07:00:00+00:00,52605.0
2020-01-04 08:00:00+00:00,55801.9
2020-01-04 09:00:00+00:00,57580.0
2020-01-04 10:00:00+00:00,58769.4
2020-01-04 11:00:00+00:00,58685.4
2020-01-04 12:00:00+00:00,56840.2
2020-01-04 13:00:00+00:00,55149.5
2020-01-04 14:00:00+00:00,54763.8
2020-01-04 15:00:00+00:00,56364.0
2020-01-04 16:00:00+00:00,59344.7
2020-01-04 17:00:00+00:00,59514.6
2020-01-04 18:00:00+00:00,57646.7
2020-01-04 19:00:00+00:00,53984.1
2020-01-04 20:00:00+00:00,51770.6
2020-01-04 21:00:00+00:00,51310.2
2020-01-04 22:00:00+00:00,48251.7
2020-01-04 23:00:00+00:00,44929.8
2020-01-05 00:00:00+00:00,42559.8
2020-01-05 01:00:00+00:00,41355.7
2020-01-05 02:00:00+00:00,40880.7
2020-01-05 03:00:00+00:00,40810.1
2020-01-05 04:00:00+00:00,40277.1
2020-01-05 05:00:00+00:00,39377.8
2020-01-05 06:00:00+00:00,41443.3
2020-01-05 07:00:00+00:00,44928.7
2020-01-05 08:00:00+00:00,48190.8
2020-01-05 09:00:00+00:00,50605.3
2020-01-05 10:00:00+00:00,52956.2
2020-01-05 11:00:00+00:00,53169.4
2020-01-05 12:00:00+00:00,51162.1
2020-01-05 13:00:00+00:00,49911.1
2020-01-05 14:00:00+00:00,49488.3
2020-01-05 15:00:00+00:00,50914.6
2020-01-05 16:00:00+00:00,54739.3
2020-01-05 17:00:00+00:00,56170.4
2020-01-05 18:00:00+00:00,55370.7
2020-01-05 19:00:00+00:00,53160.5
2020-01-05 20:00:00+00:00,51612.4
2020-01-05 21:00:00+00:00,52030.9
2020-01-05 22:00:00+00:00,49027.4
2020-01-05 23:00:00+00:00,46489.7
2020-01-06 00:00:00+00:00,44630.3
2020-01-06 01:00:00+00:00,43733.1
2020-01-06 02:00:00+00:00,43980.1
2020-01-06 03:00:00+00:00,45216.0
2020-01-06 04:00:00+00:00,47911.2
2020-01-06 05:00:00+00:00,53533.3
2020-01-06 06:00:00+00:00,58899.8
2020-01-06 07:00:00+00:00,61516.1
2020-01-06 08:00:00+00:00,63088.2
2020-01-06 09:00:00+00:00,64720.0
2020-01-06 10:00:00+00:00,66192.0
2020-01-06 11:00:00+00:00,66451.0
2020-01-06 12:00:00+00:00,65832.0
2020-01-06 13:00:00+00:00,64861.4
2020-01-06 14:00:00+00:00,64336.0
2020-01-06 15:00:00+00:00,65371.6
2020-01-06 16:00:00+00:00,68533.3
2020-01-06 17:00:00+00:00,68919.1
2020-01-06 18:00:00+00:00,67471.6
2020-01-06 19:00:00+00:00,63784.6
2020-01-06 20:00:00+00:00,60747.2
2020-01-06 21:00:00+00:00,58540.0
2020-01-06 22:00:00+00:00,54478.3
2020-01-06 23:00:00+00:00,51283.1
2020-01-07 00:00:00+00:00,49216.2
2020-01-07 01:00:00+00:00,48315.6
2020-01-07 02:00:00+00:00,48510.6
2020-01-07 03:00:00+00:00,49758.7
