date_utc,mean_load_mw,minimum_load_mw,maximum_load_mw
2020-01-01 00:00:00+00:00,45618.01,37292.76,52542.48
2020-01-02 00:00:00+00:00,57176.31,42063.55,66910.52
2020-01-03 00:00:00+00:00,60286.34,47592.22,68589.98
2020-01-04 00:00:00+00:00,53684.94,46291.16,61169.05
2020-01-05 00:00:00+00:00,50002.65,41165.66,58531.64
2020-01-06 00:00:00+00:00,59688.04,43691.76,68178.13
2020-01-07 00:00:00+00:00,64092.56,49048.39,72659.51
