utc_timestamp,forecast_load_mw
2020-01-01 00:00:00+00:00,42096.37
2020-01-01 01:00:00+00:00,40928.03
2020-01-01 02:00:00+00:00,40734.65
2020-01-01 03:00:00+00:00,40977.12
2020-01-01 04:00:00+00:00,39895.58
2020-01-01 05:00:00+00:00,37292.76
2020-01-01 06:00:00+00:00,38766.45
2020-01-01 07:00:00+00:00,41200.45
2020-01-01 08:00:00+00:00,44128.65
2020-01-01 09:00:00+00:00,46386.85
2020-01-01 10:00:00+00:00,48170.07
2020-01-01 11:00:00+00:00,48651.93
2020-01-01 12:00:00+00:00,48149.24
2020-01-01 13:00:00+00:00,47054.89
2020-01-01 14:00:00+00:00,46914.96
2020-01-01 15:00:00+00:00,48405.27
2020-01-01 16:00:00+00:00,52160.34
2020-01-01 17:00:00+00:00,52542.48
2020-01-01 18:00:00+00:00,50651.50
2020-01-01 19:00:00+00:00,48799.52
2020-01-01 20:00:00+00:00,49388.93
2020-01-01 21:00:00+00:00,49730.13
2020-01-01 22:00:00+00:00,47462.32
2020-01-01 23:00:00+00:00,44343.72
2020-01-02 00:00:00+00:00,42849.11
2020-01-02 01:00:00+00:00,42063.55
2020-01-02 02:00:00+00:00,42100.37
2020-01-02 03:00:00+00:00,42480.65
2020-01-02 04:00:00+00:00,45036.80
2020-01-02 05:00:00+00:00,52039.21
2020-01-02 06:00:00+00:00,56897.52
2020-01-02 07:00:00+00:00,60258.26
2020-01-02 08:00:00+00:00,61943.47
2020-01-02 09:00:00+00:00,62741.11
2020-01-02 10:00:00+00:00,64982.16
2020-01-02 11:00:00+00:00,65079.90
2020-01-02 12:00:00+00:00,64459.98
2020-01-02 13:00:00+00:00,63382.21
2020-01-02 14:00:00+00:00,62861.44
2020-01-02 15:00:00+00:00,64147.51
2020-01-02 16:00:00+00:00,66883.89
2020-01-02 17:00:00+00:00,66910.52
2020-01-02 18:00:00+00:00,65513.50
2020-01-02 19:00:00+00:00,61828.12
2020-01-02 20:00:00+00:00,58321.80
2020-01-02 21:00:00+00:00,56497.84
2020-01-02 22:00:00+00:00,52606.39
2020-01-02 23:00:00+00:00,50346.20
2020-01-03 00:00:00+00:00,48627.32
2020-01-03 01:00:00+00:00,47592.22
2020-01-03 02:00:00+00:00,47598.65
2020-01-03 03:00:00+00:00,48497.96
2020-01-03 04:00:00+00:00,50353.20
2020-01-03 05:00:00+00:00,56535.67
2020-01-03 06:00:00+00:00,61417.39
2020-01-03 07:00:00+00:00,65309.87
2020-01-03 08:00:00+00:00,66580.03
2020-01-03 09:00:00+00:00,67312.00
2020-01-03 10:00:00+00:00,68381.66
2020-01-03 11:00:00+00:00,68329.97
2020-01-03 12:00:00+00:00,67391.95
2020-01-03 13:00:00+00:00,65783.33
2020-01-03 14:00:00+00:00,65620.54
2020-01-03 15:00:00+00:00,66600.61
2020-01-03 16:00:00+00:00,68589.98
2020-01-03 17:00:00+00:00,68520.48
2020-01-03 18:00:00+00:00,66446.45
2020-01-03 19:00:00+00:00,62008.99
2020-01-03 20:00:00+00:00,59047.53
2020-01-03 21:00:00+00:00,56598.29
2020-01-03 22:00:00+00:00,53574.21
2020-01-03 23:00:00+00:00,50153.78
2020-01-04 00:00:00+00:00,48178.07
2020-01-04 01:00:00+00:00,46761.22
2020-01-04 02:00:00+00:00,46420.47
2020-01-04 03:00:00+00:00,46727.81
2020-01-04 04:00:00+00:00,46746.11
2020-01-04 05:00:00+00:00,46568.78
2020-01-04 06:00:00+00:00,49628.75
2020-01-04 07:00:00+00:00,53381.39
2020-01-04 08:00:00+00:00,56606.09
2020-01-04 09:00:00+00:00,58624.17
2020-01-04 10:00:00+00:00,59758.91
2020-01-04 11:00:00+00:00,59723.93
2020-01-04 12:00:00+00:00,58451.89
2020-01-04 13:00:00+00:00,56759.38
2020-01-04 14:00:00+00:00,56783.24
2020-01-04 15:00:00+00:00,58142.96
2020-01-04 16:00:00+00:00,60982.25
2020-01-04 17:00:00+00:00,61169.05
2020-01-04 18:00:00+00:00,59676.76
2020-01-04 19:00:00+00:00,55935.36
2020-01-04 20:00:00+00:00,53378.56
2020-01-04 21:00:00+00:00,52277.36
2020-01-04 22:00:00+00:00,49464.93
2020-01-04 23:00:00+00:00,46291.16
2020-01-05 00:00:00+00:00,44006.96
2020-01-05 01:00:00+00:00,42966.21
2020-01-05 02:00:00+00:00,42651.59
2020-01-05 03:00:00+00:00,42466.68
2020-01-05 04:00:00+00:00,42278.62
2020-01-05 05:00:00+00:00,41165.66
2020-01-05 06:00:00+00:00,42986.56
2020-01-05 07:00:00+00:00,45941.19
2020-01-05 08:00:00+00:00,50187.25
2020-01-05 09:00:00+00:00,52589.45
2020-01-05 10:00:00+00:00,54940.59
2020-01-05 11:00:00+00:00,54918.51
2020-01-05 12:00:00+00:00,54105.92
2020-01-05 13:00:00+00:00,52633.21
2020-01-05 14:00:00+00:00,52305.74
2020-01-05 15:00:00+00:00,53696.02
2020-01-05 16:00:00+00:00,57795.29
2020-01-05 17:00:00+00:00,58531.64
2020-01-05 18:00:00+00:00,57002.19
2020-01-05 19:00:00+00:00,54484.14
2020-01-05 20:00:00+00:00,53069.38
2020-01-05 21:00:00+00:00,52694.27
2020-01-05 22:00:00+00:00,50213.52
2020-01-05 23:00:00+00:00,46433.14
2020-01-06 00:00:00+00:00,44548.59
2020-01-06 01:00:00+00:00,43691.76
2020-01-06 02:00:00+00:00,43892.86
2020-01-06 03:00:00+00:00,45185.54
2020-01-06 04:00:00+00:00,49008.40
2020-01-06 05:00:00+00:00,55625.02
2020-01-06 06:00:00+00:00,61744.77
2020-01-06 07:00:00+00:00,64977.57
