name,mape_test_pct,rmse_test_mw,mae_test_mw,mape_jan1_pct,mape_jan2_to_jan7_pct,runtime_seconds,hyperparameters
naive,12.7806,8808.6,7237.98,6.5196,13.8241,0.0,"{""lag_hours"": 168}"
sarima,9.7864,6632.16,5424.34,11.1713,9.5556,588.38,"{""order"": [1, 0, 1], ""seasonal_order"": [1, 1, 1, 24]}"
prophet,7.6094,4874.46,3794.9,13.2761,6.665,17.85,"{""country_holidays"": ""DE"", ""seasonalities"": [""daily"", ""weekly"", ""yearly""], ""num_samples"": 500}"
lightgbm,3.2435,2166.51,1732.35,2.2391,3.4109,162.62,"{""n_estimators"": 800, ""learning_rate"": 0.05, ""num_leaves"": 63, ""min_child_samples"": 20, ""val_mape_pct"": 2.0097912746362496}"
nbeats,11.0006,7118.01,5626.01,5.1342,11.9783,26.31,"{""input_chunk_length"": 168, ""output_chunk_length"": 168, ""max_epochs"": 40, ""batch_size"": 64, ""residual_sd_mw"": 7984.401475998722}"
patchtst,8.2806,5512.71,4314.35,6.9204,8.5073,231.05,"{""model_class"": ""TSMixerModel (substitute for PatchTST)"", ""input_chunk_length"": 168, ""output_chunk_length"": 168, ""max_epochs"": 15, ""batch_size"": 64, ""residual_sd_mw"": 7675.884358709248}"
