utc_timestamp,actual_mw,forecast_mw,previous_week_mw,previous_52_weeks_mw,error_mw,absolute_error_mw,absolute_percentage_error
2020-01-01 00:00:00+00:00,41187.0,41604.220023379065,38223.0,42813.0,417.2200233790645,417.2200233790645,1.0129895922962695
2020-01-01 01:00:00+00:00,40398.0,41184.97203473854,36936.0,42318.0,786.9720347385373,786.9720347385373,1.9480470190072214
2020-01-01 02:00:00+00:00,38919.0,40788.79422492771,36637.0,41934.0,1869.7942249277112,1869.7942249277112,4.804322374489867
2020-01-01 03:00:00+00:00,38879.0,41293.57980051174,36614.0,43607.0,2414.5798005117394,2414.5798005117394,6.210498728135342
2020-01-01 04:00:00+00:00,39162.0,41063.83324414289,37078.0,46463.0,1901.8332441428865,1901.8332441428865,4.856323078859319
2020-01-01 05:00:00+00:00,37510.0,41402.11445701227,37024.0,52329.0,3892.1144570122706,3892.1144570122706,10.376204897393416
2020-01-01 06:00:00+00:00,37892.0,39986.91532297498,38634.0,57736.0,2094.915322974979,2094.915322974979,5.528648060210544
2020-01-01 07:00:00+00:00,38677.0,42319.47470698915,41955.0,60956.0,3642.4747069891528,3642.4747069891528,9.417676414895553
2020-01-01 08:00:00+00:00,41091.0,43351.66946668716,46241.0,62833.0,2260.6694666871626,2260.6694666871626,5.501617061369065
2020-01-01 09:00:00+00:00,43094.0,44896.88046485578,48911.0,64259.0,1802.880464855778,1802.880464855778,4.183599723524802
2020-01-01 10:00:00+00:00,45249.0,48077.88307917341,50798.0,65434.0,2828.883079173407,2828.883079173407,6.251813474714154
2020-01-01 11:00:00+00:00,46498.0,48804.41373481684,50512.0,65705.0,2306.413734816837,2306.413734816837,4.9602428810203385
2020-01-01 12:00:00+00:00,46328.0,47814.3363790557,47742.0,64849.0,1486.3363790556978,1486.3363790556978,3.2082895420818893
2020-01-01 13:00:00+00:00,45115.0,46756.14082822731,46317.0,63278.0,1641.1408282273114,1641.1408282273114,3.637683316474147
2020-01-01 14:00:00+00:00,45039.0,46786.55756785145,45547.0,63354.0,1747.5575678514506,1747.5575678514506,3.8800985098502423
2020-01-01 15:00:00+00:00,47313.0,47252.078755910596,45486.0,64290.0,-60.921244089404354,60.921244089404354,0.12876216703528492
2020-01-01 16:00:00+00:00,51194.0,52519.08298428341,47631.0,68262.0,1325.0829842834064,1325.0829842834064,2.588356026650401
2020-01-01 17:00:00+00:00,51755.0,52578.65059422017,48297.0,68159.0,823.6505942201693,823.6505942201693,1.5914415886777495
2020-01-01 18:00:00+00:00,50732.0,49245.93947011327,47359.0,66061.0,-1486.0605298867304,1486.0605298867304,2.9292370296592494
2020-01-01 19:00:00+00:00,48591.0,47264.19102597789,45470.0,62543.0,-1326.8089740221112,1326.8089740221112,2.730565277566033
2020-01-01 20:00:00+00:00,47664.0,47127.87189786161,44323.0,59581.0,-536.1281021383911,536.1281021383911,1.124807196497128
2020-01-01 21:00:00+00:00,46994.0,46868.499366796765,43864.0,57599.0,-125.50063320323534,125.50063320323534,0.26705671618341775
2020-01-01 22:00:00+00:00,44105.0,46330.71330346956,42040.0,53280.0,2225.713303469558,2225.713303469558,5.0463967882769705
2020-01-01 23:00:00+00:00,42547.0,45384.01692902572,38605.0,49918.0,2837.016929025718,2837.016929025718,6.667959971386274
2020-01-02 00:00:00+00:00,41194.0,43322.20907357142,36909.0,48638.0,2128.209073571423,2128.209073571423,5.166308378820758
2020-01-02 01:00:00+00:00,40773.0,42856.12499809756,36332.0,48082.0,2083.1249980975626,2083.1249980975626,5.109079533263587
2020-01-02 02:00:00+00:00,40795.0,43072.874760351144,36001.0,47861.0,2277.874760351144,2277.874760351144,5.583710651675803
2020-01-02 03:00:00+00:00,41774.0,43460.21751893577,36971.0,48411.0,1686.2175189357731,1686.2175189357731,4.036523959725602
2020-01-02 04:00:00+00:00,43961.0,46339.23639092519,36983.0,50986.0,2378.236390925187,2378.236390925187,5.409877825629961
2020-01-02 05:00:00+00:00,47850.0,52471.83675555865,36841.0,55857.0,4621.836755558652,4621.836755558652,9.659010983403661
2020-01-02 06:00:00+00:00,52828.0,58131.32533000707,38525.0,60948.0,5303.325330007072,5303.325330007072,10.03885312714294
2020-01-02 07:00:00+00:00,56329.0,62304.73086026961,41091.0,64162.0,5975.730860269607,5975.730860269607,10.608622308703522
2020-01-02 08:00:00+00:00,58780.0,63792.78916423599,44267.0,65966.0,5012.78916423599,5012.78916423599,8.528052337931252
2020-01-02 09:00:00+00:00,59588.0,65227.60161263898,46808.0,66379.0,5639.60161263898,5639.60161263898,9.464324381820132
2020-01-02 10:00:00+00:00,60169.0,66265.5176829457,48752.0,67625.0,6096.517682945705,6096.517682945705,10.13232342725607
2020-01-02 11:00:00+00:00,60786.0,66588.60321932874,48859.0,67794.0,5802.603219328739,5802.603219328739,9.545953376318131
