timestamp,forecast,lower_80,upper_80,lower_95,upper_95,q10,q50,q90
2020-01-01 00:00:00,39811.56177663119,37326.98997349454,42319.282101649405,36319.345004383904,45111.62195668205,37326.98997349454,39811.56177663119,42319.282101649405
2020-01-01 01:00:00,38070.27677095833,36363.004990271635,40793.33645940554,35267.289783190856,43439.627668366,36363.004990271635,38070.27677095833,40793.33645940554
2020-01-01 02:00:00,37874.427425124515,36058.55775927972,41527.04037820034,34088.02327346856,44001.1787081059,36058.55775927972,37874.427425124515,41527.04037820034
2020-01-01 03:00:00,37084.656877038215,35198.9642860152,40318.86831431484,33834.470048326264,43523.11990640048,35198.9642860152,37084.656877038215,40318.86831431484
2020-01-01 04:00:00,39577.762814983565,35534.85735536341,42703.65167764717,33973.520154119105,45590.31106040827,35534.85735536341,39577.762814983565,42703.65167764717
2020-01-01 05:00:00,37963.03195077721,35564.5103383787,42288.72756979427,34431.73536313988,45554.35994384628,35564.5103383787,37963.03195077721,42288.72756979427
2020-01-01 06:00:00,39983.341949880225,38037.848773274396,45256.998617954945,36719.110455496,48199.5981270487,38037.848773274396,39983.341949880225,45256.998617954945
2020-01-01 07:00:00,42785.54499376155,40130.29173199669,46519.01784365663,38916.91686100838,49872.70933042372,40130.29173199669,42785.54499376155,46519.01784365663
2020-01-01 08:00:00,45907.06128702326,43098.66007307725,49324.33097777973,41949.903337773074,52263.0348818072,43098.66007307725,45907.06128702326,49324.33097777973
2020-01-01 09:00:00,46859.46426873242,45289.58958260236,52676.5821130149,43470.01192421408,57757.1499375281,45289.58958260236,46859.46426873242,52676.5821130149
2020-01-01 10:00:00,49202.82065841807,45997.2311884012,54290.026358996474,45086.22693676136,59524.40446967175,45997.2311884012,49202.82065841807,54290.026358996474
2020-01-01 11:00:00,47999.82031622369,46317.02023952258,54202.812034378,44230.74777942677,59022.73938958166,46317.02023952258,47999.82031622369,54202.812034378
2020-01-01 12:00:00,47433.69230731789,45448.86604282456,55026.642858441395,43855.807782895004,59539.75242490476,45448.86604282456,47433.69230731789,55026.642858441395
2020-01-01 13:00:00,46185.956254557415,43565.72728846177,51808.374334749766,41637.56328902266,57811.96875184942,43565.72728846177,46185.956254557415,51808.374334749766
2020-01-01 14:00:00,46395.22743749904,43731.6649346824,52162.29368762689,42294.28414396418,58419.78379948767,43731.6649346824,46395.22743749904,52162.29368762689
2020-01-01 15:00:00,47176.73544507856,44487.747557704075,53081.03318040857,42379.43242481798,59565.874715203914,44487.747557704075,47176.73544507856,53081.03318040857
2020-01-01 16:00:00,49915.92828346441,44774.266414769736,55780.45308580722,43468.00585443425,62725.17579512003,44774.266414769736,49915.92828346441,55780.45308580722
2020-01-01 17:00:00,50664.85414049555,46931.29955042887,58615.52733203037,43976.46463064503,62309.86398563033,46931.29955042887,50664.85414049555,58615.52733203037
2020-01-01 18:00:00,47791.948547376174,44951.98812392298,53765.8067262976,42274.77330619582,58307.639147539885,44951.98812392298,47791.948547376174,53765.8067262976
2020-01-01 19:00:00,44823.502570729775,41723.18817856973,51012.57612762755,40863.4187070443,57853.69358858391,41723.18817856973,44823.502570729775,51012.57612762755
2020-01-01 20:00:00,45586.49797267761,43001.52515235745,52373.18393679323,40608.06506935707,58269.245320967646,43001.52515235745,45586.49797267761,52373.18393679323
2020-01-01 21:00:00,45008.20158987935,42898.945936271,50967.41545843549,40317.42182014859,56454.59409043562,42898.945936271,45008.20158987935,50967.41545843549
2020-01-01 22:00:00,42596.9584701508,40487.10128325244,47969.84938016332,38831.94507472154,49394.7076976638,40487.10128325244,42596.9584701508,47969.84938016332
2020-01-01 23:00:00,39557.98708101881,37782.85380684497,44537.20682302508,36389.28098997576,50239.035265608516,37782.85380684497,39557.98708101881,44537.20682302508
2020-01-02 00:00:00,37197.876694451195,34647.795336554394,43650.14886818706,34095.92831381178,47922.92724835663,34647.795336554394,37197.876694451195,43650.14886818706
2020-01-02 01:00:00,37608.61081808865,35483.97843169,45628.82296197222,34471.82281057637,50300.53492318544,35483.97843169,37608.61081808865,45628.82296197222
2020-01-02 02:00:00,37782.89944189387,34998.51433437344,41872.000629168935,33472.354806899406,46970.253832814415,34998.51433437344,37782.89944189387,41872.000629168935
2020-01-02 03:00:00,38100.47117251888,35625.83312345274,42995.91880632494,33938.671188473665,49995.5464077613,35625.83312345274,38100.47117251888,42995.91880632494
2020-01-02 04:00:00,37982.24026344566,35516.45885901543,44802.87948885593,34542.23534167123,48921.06945409604,35516.45885901543,37982.24026344566,44802.87948885593
2020-01-02 05:00:00,38504.324268024895,36553.54562399783,41965.97240374493,35198.72838432876,45197.420246804424,36553.54562399783,38504.324268024895,41965.97240374493
2020-01-02 06:00:00,39519.81305267891,37615.241785179176,46192.83825454812,35774.30355884422,51529.30822526618,37615.241785179176,39519.81305267891,46192.83825454812
2020-01-02 07:00:00,42749.017990295484,39356.84190187104,52385.25389187304,38944.21974517999,55122.92271297651,39356.84190187104,42749.017990295484,52385.25389187304
2020-01-02 08:00:00,46764.20372011135,43286.819925356955,53006.38557081317,40454.335181842005,58471.648192929264,43286.819925356955,46764.20372011135,53006.38557081317
2020-01-02 09:00:00,49919.42739364374,45753.15584601198,59085.09109793015,42349.4425324526,64329.8587144284,45753.15584601198,49919.42739364374,59085.09109793015
2020-01-02 10:00:00,48995.339594588084,45239.41841927509,57054.697354757736,42320.417543175114,64900.67470414365,45239.41841927509,48995.339594588084,57054.697354757736
2020-01-02 11:00:00,48919.03093567694,44867.91528922841,60496.26047267093,41089.34378361844,65906.77766287116,44867.91528922841,48919.03093567694,60496.26047267093
2020-01-02 12:00:00,48134.547906870095,45230.87874406338,54325.749650051555,41933.41769705724,62192.98649933712,45230.87874406338,48134.547906870095,54325.749650051555
2020-01-02 13:00:00,46259.20195737391,42734.73614228976,54883.82769738681,40966.7348630384,60223.41589464667,42734.73614228976,46259.20195737391,54883.82769738681
2020-01-02 14:00:00,47151.83282100862,43508.28680063594,56461.6701900139,40633.83502572362,62846.31241617526,43508.28680063594,47151.83282100862,56461.6701900139
2020-01-02 15:00:00,49995.562322141675,47595.44484895349,58941.34152161576,42152.01332399464,66777.32337869822,47595.44484895349,49995.562322141675,58941.34152161576
2020-01-02 16:00:00,49348.66188559089,44968.691752464336,57541.030428237755,41462.20281629689,67357.28403589483,44968.691752464336,49348.66188559089,57541.030428237755
2020-01-02 17:00:00,50732.18870960502,45956.331884795334,59124.8773627037,43125.91966558354,70750.45945590895,45956.331884795334,50732.18870960502,59124.8773627037
2020-01-02 18:00:00,50421.973207834606,47275.97525781578,56436.49532242513,42776.492991446314,65192.69568187326,47275.97525781578,50421.973207834606,56436.49532242513
2020-01-02 19:00:00,49763.81879602586,44495.81072597387,57039.36361804556,40813.44490736671,63166.61587992424,44495.81072597387,49763.81879602586,57039.36361804556
2020-01-02 20:00:00,46702.69758290111,43158.69361427476,54782.961454293516,40065.416738656866,61842.57180421713,43158.69361427476,46702.69758290111,54782.961454293516
2020-01-02 21:00:00,46873.22019223528,43615.314460365254,54475.87144004007,39426.71384588584,62057.22631653782,43615.314460365254,46873.22019223528,54475.87144004007
