timestamp,forecast,lower_80,upper_80,lower_95,upper_95,q10,q50,q90
2020-01-01 00:00:00,39396.92883377837,38793.41150292713,42973.209837469956,38642.53217021431,43867.28008839285,38793.41150292713,40453.891169473594,42973.209837469956
2020-01-01 01:00:00,38780.13999574645,38740.41711387426,42863.18986196015,38730.486393406216,43883.95232851357,38740.41711387426,40259.503477357466,42863.18986196015
2020-01-01 02:00:00,37842.95859206277,38327.33466148343,42800.30598293674,37237.48850528695,44039.64283065523,38327.33466148343,40027.26834962297,42800.30598293674
2020-01-01 03:00:00,37528.26726700087,38304.35407024205,44114.64805756645,36558.15876294939,45761.24325520784,38304.35407024205,39751.52458614575,44114.64805756645
2020-01-01 04:00:00,37409.33230696953,37005.397686511504,46689.777949735464,36904.414031397,49009.88936042695,37005.397686511504,40943.448942765644,46689.777949735464
2020-01-01 05:00:00,39576.45039120315,36345.67772801468,45697.299455340595,35537.98456221756,47227.511721374955,36345.67772801468,44622.15636953146,45697.299455340595
2020-01-01 06:00:00,35588.61762013508,37085.95115189483,48890.67771201502,33716.9507054354,52216.19273498501,37085.95115189483,42134.766858916424,48890.67771201502
2020-01-01 07:00:00,38405.35174518566,39158.66985437751,51290.77764933595,37463.70410869585,54512.13412537352,39158.66985437751,43001.31097940685,51290.77764933595
2020-01-01 08:00:00,40192.70272813096,41423.80708482171,52081.13224267855,38653.822282267516,55053.23962131544,41423.80708482171,44888.40203079205,52081.13224267855
2020-01-01 09:00:00,45150.604709668376,43251.257451110534,54141.106226731725,42776.42063647107,56388.731605997564,43251.257451110534,46472.026170015655,54141.106226731725
2020-01-01 10:00:00,46122.370000036855,45643.3821978912,53848.36411369815,45523.63524735479,55779.862642113476,45643.3821978912,46607.541980758084,53848.36411369815
2020-01-01 11:00:00,46633.72625870106,46088.773615541504,54287.418045578386,45952.53545475162,56200.840992297715,46088.773615541504,46791.69086707766,54287.418045578386
2020-01-01 12:00:00,46136.03509909622,44041.0701526051,53763.679843946455,43517.32891598232,55670.59103015901,44041.0701526051,46218.97659557022,53763.679843946455
2020-01-01 13:00:00,45565.33104819692,43605.80945153,53170.84713262712,43115.92905236327,55072.226153734664,43605.80945153,45623.693113676156,53170.84713262712
2020-01-01 14:00:00,45919.59409299459,43447.806336533926,53066.66685760243,42829.85939741876,54853.43504875439,43447.806336533926,45536.00858433479,53066.66685760243
2020-01-01 15:00:00,47170.529771113455,44135.021103125466,54649.250238318375,43376.14393612847,56518.930355119606,44135.021103125466,46793.23153127591,54649.250238318375
2020-01-01 16:00:00,50478.02730602998,47887.56317745501,58743.00695015289,47239.94714531127,60809.25186118362,47887.56317745501,49783.913811617495,58743.00695015289
2020-01-01 17:00:00,50389.819570207204,47944.760163723484,58624.006005741685,47333.495312102554,60682.5526146253,47944.760163723484,49598.67772686075,58624.006005741685
2020-01-01 18:00:00,49249.58950975084,45716.79198278656,57468.66967052021,44833.59260104549,59523.439710712555,45716.79198278656,48513.0969370156,57468.66967052021
2020-01-01 19:00:00,47500.84466529447,43849.07251186423,55829.01146909633,42936.12947350667,57911.0531700468,43849.07251186423,46763.562053513764,55829.01146909633
2020-01-01 20:00:00,47016.80062130588,42110.25190641282,53447.68849752283,40883.61472768956,55055.41046657707,42110.25190641282,46326.474374265206,53447.68849752283
2020-01-01 21:00:00,45536.301072304566,41089.47501587055,51228.44635454463,39977.768501762046,52651.48267510464,41089.47501587055,46140.96175715398,51228.44635454463
2020-01-01 22:00:00,43689.70624446014,39089.05482466367,48601.39564368905,37938.89196971455,49829.31799349628,39089.05482466367,47184.38956227366,48601.39564368905
2020-01-01 23:00:00,41088.66338973677,38323.342259754034,48153.9942577891,37632.01197725835,49920.32697480218,38323.342259754034,45614.63172396109,48153.9942577891
2020-01-02 00:00:00,41153.06494984075,38421.47631900695,48443.584756416756,37738.5791612985,50266.214708060754,38421.47631900695,42871.29823451578,48443.584756416756
2020-01-02 01:00:00,41265.62042996252,38425.693461385235,48590.44729512642,37715.71171924091,50421.65401141739,38425.693461385235,42875.272494594945,48590.44729512642
2020-01-02 02:00:00,41097.68209485058,38696.926425324644,49383.857227206965,38096.73750794316,51455.40101029606,38696.926425324644,42779.44346687452,49383.857227206965
2020-01-02 03:00:00,42095.95489638697,38815.763461272036,49869.79854142501,37995.71560249331,51813.25945268452,38815.763461272036,43719.26270435534,49869.79854142501
2020-01-02 04:00:00,43559.43494121022,39628.42561926808,51274.83371359917,38645.67328878254,53203.68340669641,39628.42561926808,45200.298865339326,51274.83371359917
2020-01-02 05:00:00,48345.63862222006,39771.464241637565,55613.640655610005,37627.92064649194,57430.641163957494,39771.464241637565,50060.122093268634,55613.640655610005
2020-01-02 06:00:00,51287.423376619634,42071.75666715992,60812.9843554514,39767.83998979499,63194.37460015934,42071.75666715992,54706.99988034393,60812.9843554514
2020-01-02 07:00:00,55876.90216963621,43545.48042137427,63308.43223401773,40462.624984308786,65166.31475011311,43545.48042137427,58114.53350290996,63308.43223401773
2020-01-02 08:00:00,59235.094488993884,48141.285685475676,64690.823541782134,45367.83348459612,66054.7558049792,48141.285685475676,59364.97631566901,64690.823541782134
2020-01-02 09:00:00,60735.8390584071,50290.6670339859,64950.99548695486,47679.37402788059,66004.7845940918,50290.6670339859,60609.282007253954,64950.99548695486
2020-01-02 10:00:00,62142.902046428615,52799.573719768145,66633.79486113257,50463.74163810303,67756.51806480857,52799.573719768145,61696.11233714312,66633.79486113257
2020-01-02 11:00:00,62094.65349518239,53476.35046590985,66856.63944531618,51321.77470859171,68047.13593284962,53476.35046590985,61997.211671652105,66856.63944531618
2020-01-02 12:00:00,61347.498458900154,51783.35634127209,65104.03141767543,49392.32081186507,66043.16465736926,51783.35634127209,60774.637939655455,65104.03141767543
2020-01-02 13:00:00,60146.55983568343,50547.234115649066,64989.539172096855,48147.402685640474,66200.2840062002,50547.234115649066,59937.56379095572,64989.539172096855
2020-01-02 14:00:00,59472.99168535382,49880.31470785466,64089.22294468384,47482.14546347987,65243.28075951635,49880.31470785466,59141.90480591666,64089.22294468384
2020-01-02 15:00:00,60549.96353615021,51345.118589524966,65504.262232695815,49043.90735286866,66742.83690683222,51345.118589524966,60108.62897027579,65504.262232695815
2020-01-02 16:00:00,63822.1239300463,54853.225873465315,67918.22930867209,52611.00135932007,68942.25565332854,54853.225873465315,62643.199546395335,67918.22930867209
2020-01-02 17:00:00,64350.1983728965,55046.71373615862,67752.91265376979,52720.84257697415,68603.59122398811,55046.71373615862,62860.97181143509,67752.91265376979
2020-01-02 18:00:00,64001.32666625256,54003.59052395929,65963.25986274204,51504.156488385976,66453.7431618644,54003.59052395929,61154.679681935755,65963.25986274204
2020-01-02 19:00:00,61115.036423163474,50646.959183093706,63912.38154173775,48029.93987307626,64611.71782138132,50646.959183093706,57925.781080232686,63912.38154173775
2020-01-02 20:00:00,57592.500889542316,49397.06776102282,61596.56864961039,47348.20947889295,62597.58558962741,49397.06776102282,55524.46953668836,61596.56864961039
2020-01-02 21:00:00,56059.63728608686,47648.86356979681,58237.255985199125,45546.1701407243,58781.66065997719,47648.86356979681,54773.111069082974,58237.255985199125
2020-01-02 22:00:00,52481.291894672606,43034.945567973446,54819.9876955414,40673.358986298656,55404.6616457586,43034.945567973446,51030.5643117783,54819.9876955414
2020-01-02 23:00:00,48840.77544320497,41804.767234423736,52915.03771121138,40045.765182228424,53933.60327821298,41804.767234423736,48450.68469069691,52915.03771121138
2020-01-03 00:00:00,44989.22551492611,39310.13259870505,51087.285201498686,37890.359369649785,52611.80012314183,39310.13259870505,45941.07199198381,51087.285201498686
2020-01-03 01:00:00,44941.895338216804,39311.71180544045,50969.076369072645,37904.165922246364,52475.871626786604,39311.71180544045,45290.60467274766,50969.076369072645
2020-01-03 02:00:00,45303.15924690741,39559.85976706462,51323.83279067053,38124.03489710392,52829.00117661131,39559.85976706462,45313.03852996116,51323.83279067053
2020-01-03 03:00:00,46547.472725042935,39759.223887347194,51639.854285331625,38062.16167792326,52912.9496754038,39759.223887347194,46386.994914435265,51639.854285331625
2020-01-03 04:00:00,48264.01713608433,40713.59462482856,54534.26083733561,38825.98899701462,56101.82176264843,40713.59462482856,47505.404675689395,54534.26083733561
2020-01-03 05:00:00,53125.473103853685,41705.246264202964,59795.16032047173,38850.189554290286,61462.58212462624,41705.246264202964,52382.67209185025,59795.16032047173
2020-01-03 06:00:00,58063.29497191402,47873.26343072183,64990.29121055712,45325.75554542379,66722.0402702179,47873.26343072183,58265.33810311611,64990.29121055712
