utc_timestamp,actual_mw,forecast_mw,baseline_previous_week_mw,error_mw,absolute_error_mw,absolute_percentage_error_pct
2020-01-01 00:00:00+00:00,41187.0000000000,42077.2716409983,38223.0000000000,890.2716409983,890.2716409983,2.1615355355
2020-01-01 01:00:00+00:00,40398.0000000000,40720.0195064701,36936.0000000000,322.0195064701,322.0195064701,0.7971174476
2020-01-01 02:00:00+00:00,38919.0000000000,40821.9283750161,36637.0000000000,1902.9283750161,1902.9283750161,4.8894585550
2020-01-01 03:00:00+00:00,38879.0000000000,40767.9504004353,36614.0000000000,1888.9504004353,1888.9504004353,4.8585364861
2020-01-01 04:00:00+00:00,39162.0000000000,38860.8474362696,37078.0000000000,-301.1525637304,301.1525637304,0.7689917873
2020-01-01 05:00:00+00:00,37510.0000000000,35488.2938037029,37024.0000000000,-2021.7061962971,2021.7061962971,5.3897792490
2020-01-01 06:00:00+00:00,37892.0000000000,39145.8962217696,38634.0000000000,1253.8962217696,1253.8962217696,3.3091318003
2020-01-01 07:00:00+00:00,38677.0000000000,41382.6381268379,41955.0000000000,2705.6381268379,2705.6381268379,6.9954705040
2020-01-01 08:00:00+00:00,41091.0000000000,43982.6163680901,46241.0000000000,2891.6163680901,2891.6163680901,7.0371039111
2020-01-01 09:00:00+00:00,43094.0000000000,46206.2932094744,48911.0000000000,3112.2932094744,3112.2932094744,7.2221033310
2020-01-01 10:00:00+00:00,45249.0000000000,47143.0189784922,50798.0000000000,1894.0189784922,1894.0189784922,4.1857698037
2020-01-01 11:00:00+00:00,46498.0000000000,46979.8565904524,50512.0000000000,481.8565904524,481.8565904524,1.0362953040
2020-01-01 12:00:00+00:00,46328.0000000000,45816.7885612308,47742.0000000000,-511.2114387692,511.2114387692,1.1034610576
2020-01-01 13:00:00+00:00,45115.0000000000,45572.4730754526,46317.0000000000,457.4730754526,457.4730754526,1.0140154615
2020-01-01 14:00:00+00:00,45039.0000000000,45382.5966762546,45547.0000000000,343.5966762546,343.5966762546,0.7628870007
2020-01-01 15:00:00+00:00,47313.0000000000,46665.0630912340,45486.0000000000,-647.9369087660,647.9369087660,1.3694690862
2020-01-01 16:00:00+00:00,51194.0000000000,49151.0350043537,47631.0000000000,-2042.9649956463,2042.9649956463,3.9906336595
2020-01-01 17:00:00+00:00,51755.0000000000,49236.1706765801,48297.0000000000,-2518.8293234199,2518.8293234199,4.8668328150
2020-01-01 18:00:00+00:00,50732.0000000000,48110.7606306767,47359.0000000000,-2621.2393693233,2621.2393693233,5.1668362559
2020-01-01 19:00:00+00:00,48591.0000000000,47477.7747709249,45470.0000000000,-1113.2252290751,1113.2252290751,2.2910111524
2020-01-01 20:00:00+00:00,47664.0000000000,47988.0603790567,44323.0000000000,324.0603790567,324.0603790567,0.6798849846
2020-01-01 21:00:00+00:00,46994.0000000000,48173.3865118471,43864.0000000000,1179.3865118471,1179.3865118471,2.5096533852
2020-01-01 22:00:00+00:00,44105.0000000000,45356.4104962021,42040.0000000000,1251.4104962021,1251.4104962021,2.8373438300
2020-01-01 23:00:00+00:00,42547.0000000000,42757.4500350616,38605.0000000000,210.4500350616,210.4500350616,0.4946295510
2020-01-02 00:00:00+00:00,41194.0000000000,41427.1598743237,36909.0000000000,233.1598743237,233.1598743237,0.5660044529
2020-01-02 01:00:00+00:00,40773.0000000000,40458.8143276822,36332.0000000000,-314.1856723178,314.1856723178,0.7705728603
2020-01-02 02:00:00+00:00,40795.0000000000,40556.0167696080,36001.0000000000,-238.9832303920,238.9832303920,0.5858150028
2020-01-02 03:00:00+00:00,41774.0000000000,40899.5776847830,36971.0000000000,-874.4223152170,874.4223152170,2.0932214181
2020-01-02 04:00:00+00:00,43961.0000000000,43619.0259613271,36983.0000000000,-341.9740386729,341.9740386729,0.7779032294
2020-01-02 05:00:00+00:00,47850.0000000000,49975.4658062713,36841.0000000000,2125.4658062713,2125.4658062713,4.4419348093
2020-01-02 06:00:00+00:00,52828.0000000000,55854.1842060280,38525.0000000000,3026.1842060280,3026.1842060280,5.7283717082
2020-01-02 07:00:00+00:00,56329.0000000000,58937.7177789746,41091.0000000000,2608.7177789746,2608.7177789746,4.6312162101
2020-01-02 08:00:00+00:00,58780.0000000000,60819.3988284878,44267.0000000000,2039.3988284878,2039.3988284878,3.4695454721
2020-01-02 09:00:00+00:00,59588.0000000000,62422.4901890837,46808.0000000000,2834.4901890837,2834.4901890837,4.7568137697
2020-01-02 10:00:00+00:00,60169.0000000000,63415.1424343485,48752.0000000000,3246.1424343485,3246.1424343485,5.3950413574
2020-01-02 11:00:00+00:00,60786.0000000000,63182.7551593244,48859.0000000000,2396.7551593244,2396.7551593244,3.9429394257
2020-01-02 12:00:00+00:00,60272.0000000000,62061.6302348840,47162.0000000000,1789.6302348840,1789.6302348840,2.9692564290
2020-01-02 13:00:00+00:00,59483.0000000000,61760.3706750643,45890.0000000000,2277.3706750643,2277.3706750643,3.8286076275
2020-01-02 14:00:00+00:00,59173.0000000000,61450.8823091203,45970.0000000000,2277.8823091203,2277.8823091203,3.8495298686
2020-01-02 15:00:00+00:00,60091.0000000000,62716.3693779100,47567.0000000000,2625.3693779100,2625.3693779100,4.3689893294
2020-01-02 16:00:00+00:00,62599.0000000000,65329.4635063120,49325.0000000000,2730.4635063120,2730.4635063120,4.3618324675
2020-01-02 17:00:00+00:00,62923.0000000000,65263.4041094629,49152.0000000000,2340.4041094629,2340.4041094629,3.7194731807
2020-01-02 18:00:00+00:00,61932.0000000000,63955.3937592275,48165.0000000000,2023.3937592275,2023.3937592275,3.2671216160
2020-01-02 19:00:00+00:00,58422.0000000000,60150.4245215525,46401.0000000000,1728.4245215525,1728.4245215525,2.9585165204
2020-01-02 20:00:00+00:00,55661.0000000000,57246.0919953576,46178.0000000000,1585.0919953576,1585.0919953576,2.8477605421
2020-01-02 21:00:00+00:00,54103.0000000000,55990.0549708654,45993.0000000000,1887.0549708654,1887.0549708654,3.4878934086
2020-01-02 22:00:00+00:00,50732.0000000000,51603.0585430748,42662.0000000000,871.0585430748,871.0585430748,1.7169804918
2020-01-02 23:00:00+00:00,47641.0000000000,48420.6358697537,39888.0000000000,779.6358697537,779.6358697537,1.6364809088
2020-01-03 00:00:00+00:00,46071.0000000000,46979.7586445021,38475.0000000000,908.7586445021,908.7586445021,1.9725177324
2020-01-03 01:00:00+00:00,45485.0000000000,45916.9967643340,37791.0000000000,431.9967643340,431.9967643340,0.9497565446
