date_utc,hours,mae_mw,rmse_mw,mape_pct,wape_pct,bias_mw
2020-01-01,24,1370.3388590391,1655.3793429697,3.1557479981,3.1146041100,388.8166902868
2020-01-02,24,1799.8191419178,2020.4473730351,3.1738259211,3.3282243607,1652.3553705345
2020-01-03,24,1319.9535397299,1549.8714941225,2.3599924828,2.3732292827,1310.3971247534
2020-01-04,24,1717.5628758054,2033.1229533304,3.1534675030,3.2677333858,-1243.6948197512
2020-01-05,24,518.6179768681,676.6185403456,1.1223665652,1.0803772166,335.9317701079
2020-01-06,24,793.5120884127,1030.3500681886,1.3571228527,1.3955705104,-504.3038788689
2020-01-07,24,3445.0577153792,3816.6956394723,5.2939951682,5.4961973419,-3445.0577153792
