date_utc,mean_mw,minimum_mw,maximum_mw,energy_mwh
2020-01-01,44975.0,38731.9,52434.8,1079399.5
2020-01-02,56583.0,40641.7,66939.5,1357991.4
2020-01-03,59389.3,46378.8,67816.3,1425342.7
2020-01-04,54024.6,45344.3,61168.7,1296590.4
2020-01-05,49166.2,40753.9,57566.7,1179989.5
2020-01-06,59610.5,43569.8,68225.6,1430651.8
2020-01-07,63757.8,48072.2,71847.1,1530186.3
