model,autumn,new_year,selection_score_mw
annual_weekday_naive,2943.4603174603176,3898.4742063492063,3659.720734126984
blend,1028.6548825289472,2174.453166768286,1888.0035957084513
boosted_trees,1166.2432937255246,2412.484432820441,2100.9241480467117
calendar_ridge,1047.625381900977,2382.390969587109,2048.699572665576
weekly_naive,1998.561507936508,7823.68253968254,6367.402281746032
