origin,group,bias_actual_minus_forecast_mw
2017-01-01,new_year,1454.401684801226
2018-01-01,new_year,-2407.3072505539103
2019-01-01,new_year,-44.246986294908524
2019-09-04,autumn,-388.76650952295995
2019-10-02,autumn,-523.9144786953433
2019-10-23,autumn,-306.0358177424455
2019-11-06,calibration,1135.3572394490411
2019-11-20,calibration,-474.4259804911025
2019-12-04,calibration,296.34657625529553
2019-12-18,calibration,-2881.9724623126667
2019-12-25,calibration,-2164.291765702429
