group,hours,coverage_at_80_band_percent,coverage_at_95_band_percent,abs_error_q80_mw,mean_error_mw
autumn,504,94.24603174603175,98.21428571428571,1455.7628906211248,-406.2389353202496
calibration,840,80.11904761904762,95.11904761904762,2692.9203003738803,-817.7972785603723
new_year,504,67.85714285714286,93.84920634920636,3739.9611789516857,-332.3841840158643
