origin,group,model,mae_mw,rmse_mw,mape_percent
2017-01-01,new_year,weekly_naive,9521.47619047619,10273.894771400452,15.974738337527489
2017-01-01,new_year,annual_weekday_naive,3819.2678571428573,4537.546551643667,7.029919589215147
2017-01-01,new_year,calendar_ridge,3345.434498485368,3820.4350810989604,6.122026964366803
2017-01-01,new_year,boosted_trees,3244.1586530498557,3931.7182299732044,6.027011569642469
2017-01-01,new_year,blend,2957.2617725949426,3502.1139063564838,5.492516924810912
2018-01-01,new_year,weekly_naive,6895.9047619047615,8228.874782768067,11.916884443132567
2018-01-01,new_year,annual_weekday_naive,4628.827380952381,6514.064888761855,9.42084815920459
2018-01-01,new_year,calendar_ridge,2247.2878964874917,2663.625359352698,4.44333960256109
2018-01-01,new_year,boosted_trees,2716.021597171187,3237.4624078019756,5.350074534952624
2018-01-01,new_year,blend,2449.943542004953,2804.1819976125457,4.833779692155617
2019-01-01,new_year,weekly_naive,7053.666666666667,8913.136718056216,11.707292505056104
2019-01-01,new_year,annual_weekday_naive,3247.3273809523807,5461.632698391833,6.437688227907189
2019-01-01,new_year,calendar_ridge,1554.4505137884673,1944.7633128826476,2.791288361786872
2019-01-01,new_year,boosted_trees,1277.2730482402799,1623.257893247408,2.329408910439181
2019-01-01,new_year,blend,1116.154185704962,1435.7504726425773,2.0016018644289533
2019-09-04,autumn,weekly_naive,1262.3035714285713,1605.09354978812,2.42666571293419
2019-09-04,autumn,annual_weekday_naive,2443.6011904761904,2623.6013654898106,4.775999480193175
2019-09-04,autumn,calendar_ridge,538.7014134304789,674.5383815877746,1.0289552619335693
2019-09-04,autumn,boosted_trees,932.7974508565528,1103.9789609674667,1.8528146913445853
2019-09-04,autumn,blend,704.8535103268725,843.2336274209118,1.3704654445095361
2019-10-02,autumn,weekly_naive,3375.5178571428573,5877.5548563399825,6.948153909195143
2019-10-02,autumn,annual_weekday_naive,4385.065476190476,6653.700257232455,8.593160849427187
2019-10-02,autumn,calendar_ridge,1852.7173790657657,2651.776246358229,3.703162667168156
2019-10-02,autumn,boosted_trees,1643.190962677551,2164.3371903359725,3.273150559249988
2019-10-02,autumn,blend,1652.150992657396,2302.268455425326,3.3122498607626913
2019-10-23,autumn,weekly_naive,1357.8630952380952,1888.3502484216974,2.479131937663566
2019-10-23,autumn,annual_weekday_naive,2001.7142857142858,2212.299781094003,3.627930050276161
2019-10-23,autumn,calendar_ridge,751.4573532066859,946.8087083398901,1.3859493525769147
2019-10-23,autumn,boosted_trees,922.74146764247,1236.2863943682694,1.673432591209508
2019-10-23,autumn,blend,728.9601446025727,879.319932694964,1.3367312484042797
2019-11-06,calibration,blend,1202.3634261468771,1425.0981387188292,2.0163138105942813
2019-11-20,calibration,blend,699.4642622311617,847.7093142950284,1.209155476698661
2019-12-04,calibration,blend,1133.5881384264962,1402.4072326016126,1.8780977849806473
2019-12-18,calibration,blend,3033.3057082167575,3528.8818588834706,5.63771376120887
2019-12-25,calibration,blend,2469.9974183408444,3029.3666526528305,5.32250448544772
