group,start,cal_full,wx_full,wx_full_a3,wx_full_nolc,wx_full_run,wx_w30_a0.3,wx_w45_a1,wx_w60_a1,wx_w90_a1
NewYear,2017-01-01,5.8152128920557145,5.353616619709007,5.4774346803116565,5.294729284813149,5.575764080325351,4.104601438631129,4.599732066788157,4.539009139141834,4.6949724111414675
NewYear,2018-01-01,2.864539879970415,2.9986818172069265,2.930804565802601,3.04589867276558,2.8921700927452862,2.3052368178014397,2.286928098230217,2.3402065532555376,2.6252239638855985
NewYear,2019-01-01,3.255279163117713,3.145044745197639,3.0158018995377085,3.0099007178061012,3.148723228383555,2.4092337699682282,2.577984611890879,2.6785953721778193,2.842673233605068
OtherWinter,2017-01-15,3.2689030969807233,1.6566973002193262,1.55352480165783,1.6258179464368014,1.7594081196165832,1.9279672487508817,1.508194144010268,1.4653658134466938,1.3897122403449218
OtherWinter,2017-01-29,1.4477670600709822,1.368244033032145,1.383353499603102,1.6281238478954942,1.4404191341683743,1.8228040945332453,1.7991877778816792,1.1791006786648317,1.2699774029527822
OtherWinter,2017-02-12,2.234491430746359,1.2983151615429729,1.3989050334562279,1.2055767987043706,1.2417265953376433,1.4642019870759653,1.6448532076823847,1.6152937795757236,1.3312922394404942
OtherWinter,2017-11-19,1.411836737815521,1.17336531232183,1.1277811680593335,1.1681786211285936,1.2547379189161287,1.115074203615372,1.306670047544649,1.1925388714821965,1.2597067329383462
OtherWinter,2017-12-03,3.9347193719058358,2.7343881056874104,2.685011448382079,2.6637391468084677,2.759339601025697,1.7660969286312085,1.969227467419427,1.8201070644041324,1.9682545158563152
OtherWinter,2018-01-15,1.4085502988400236,1.7335912172011962,1.7004834234580453,1.8461151934251563,1.6770467941642455,1.89034599298826,1.8336321796106942,1.8015152968520396,1.915940781452993
OtherWinter,2018-01-29,1.7115858484475448,1.6811209891489334,1.7736556540075474,1.7859805661891075,1.6101402878964097,1.7775846425863484,2.1658672027955057,1.8871178237556758,1.7332848901612523
OtherWinter,2018-02-12,2.160297123482535,1.7854675125845845,1.7796489799703428,1.9502046983637233,1.7467865263093567,2.257195362438927,2.5173981395387806,2.6144725695428748,2.41386188079823
OtherWinter,2018-11-19,2.056391652324768,1.574955800749445,1.55546240980474,1.70701051319272,1.5972901589662285,1.56740613101722,2.0688836782894042,2.051035075274013,1.914030794585076
OtherWinter,2018-12-03,2.2135625192219424,2.511647677134661,2.44083779901004,2.0635729278955064,2.6582432947376247,1.8341988184521714,1.8653287944737613,1.9358246371430248,1.9787972942858914
OtherWinter,2019-01-15,1.5847619220576505,1.6077468415464917,1.6738394779293713,1.6415236404956215,1.516813716302734,1.569258829741462,1.516365655523127,1.7244753818641185,1.8023406431639126
OtherWinter,2019-01-29,1.7404769074871655,1.491462517940166,1.4951798603424005,1.4757403518679748,1.5230498995787836,1.6397691760982245,1.6085734396754832,1.4847480562732636,1.4916984818811183
OtherWinter,2019-02-12,3.110666260534988,1.7447679159017484,1.7816336200172835,1.8035665891580503,1.6946274070625489,1.83739655178068,1.9350588734186707,2.1442651517399063,2.221205715570543
OtherWinter,2019-11-19,1.5358277453562204,1.4708186057038513,1.386006186908742,3.004216470062244,1.4806350521617122,2.4124756338416176,3.3840334881148744,3.6571729998247613,3.6386973174206223
OtherWinter,2019-12-03,2.1350184995064643,2.0748852036224945,2.0797000257881852,2.172672575930172,2.092083886642851,2.689063806050622,2.6583272981206245,2.531903681635313,2.350002148802825
