,mean_all18,worst,mean_NewYear,mean_OtherWinter
wx_w30_a0.3,2.0216617463335,4.104601438631129,2.9396906754669323,1.8380559605068136
wx_full_a3,2.06883691855818,5.4774346803116565,3.808013715217322,1.7210015592263512
wx_full,2.078045409802824,5.353616619709007,3.832447727371191,1.7271649462891503
wx_full_run,2.0927225441300616,5.575764080325351,3.872219133818065,1.7368232261924612
wx_w60_a1,2.147930441447431,4.539009139141834,3.1859370215250635,1.9403291254319046
wx_w90_a1,2.1578707049048584,4.6949724111414675,3.3876232028773785,1.911920205310355
wx_full_nolc,2.171809364607713,5.294729284813149,3.78350955846161,1.8494693258369337
wx_w45_a1,2.180347009500477,4.599732066788157,3.1548815923030844,1.9854400929399556
cal_full,2.438327133884587,5.8152128920557145,3.9783439783812806,2.1303237649852482
