utc_timestamp,forecast_MW,actual_MW,error_MW,abs_pct_err
2020-01-01 00:00:00+00:00,42302.964517348126,41187.0,1115.9645173481258,2.709506682565192
2020-01-01 01:00:00+00:00,41024.504620429434,40398.0,626.504620429434,1.5508307847651714
2020-01-01 02:00:00+00:00,39836.810396800254,38919.0,917.8103968002542,2.3582579120744476
2020-01-01 03:00:00+00:00,39517.33556554884,38879.0,638.3355655488413,1.641851810871785
2020-01-01 04:00:00+00:00,39149.25952911477,39162.0,-12.740470885226387,0.03253273807575299
2020-01-01 05:00:00+00:00,38332.551477069064,37510.0,822.5514770690643,2.1928858359612486
2020-01-01 06:00:00+00:00,38887.091386394844,37892.0,995.0913863948444,2.6261252675890545
2020-01-01 07:00:00+00:00,39742.26766301993,38677.0,1065.2676630199276,2.7542665227911356
2020-01-01 08:00:00+00:00,42185.41660108045,41091.0,1094.4166010804474,2.6633973402459112
2020-01-01 09:00:00+00:00,44661.35979100658,43094.0,1567.35979100658,3.6370719613091844
2020-01-01 10:00:00+00:00,47203.27622060917,45249.0,1954.276220609172,4.3189379226262945
2020-01-01 11:00:00+00:00,47854.54864953892,46498.0,1356.5486495389196,2.9174344047892804
2020-01-01 12:00:00+00:00,46502.6055206436,46328.0,174.60552064359945,0.3768898304342934
2020-01-01 13:00:00+00:00,46108.52186604478,45115.0,993.521866044779,2.202198528304952
2020-01-01 14:00:00+00:00,46584.617545595764,45039.0,1545.6175455957637,3.431731489588498
2020-01-01 15:00:00+00:00,48769.59499304498,47313.0,1456.5949930449788,3.078635878183541
2020-01-01 16:00:00+00:00,52463.15198573228,51194.0,1269.1519857322783,2.4791029920152328
2020-01-01 17:00:00+00:00,53056.905108706065,51755.0,1301.9051087060652,2.515515619178949
2020-01-01 18:00:00+00:00,52086.36825712679,50732.0,1354.3682571267927,2.6696527973010973
2020-01-01 19:00:00+00:00,49623.47871770807,48591.0,1032.4787177080725,2.124835294001096
2020-01-01 20:00:00+00:00,47952.55382532111,47664.0,288.5538253211125,0.6053915435572184
2020-01-01 21:00:00+00:00,47531.38776685731,46994.0,537.3877668573114,1.143524209169918
2020-01-01 22:00:00+00:00,44596.54636952815,44105.0,491.54636952815054,1.1144912584245563
2020-01-01 23:00:00+00:00,41916.20106016985,42547.0,-630.7989398301506,1.4825932259152246
2020-01-02 00:00:00+00:00,40098.08946212064,41194.0,-1095.910537879361,2.6603644654060328
2020-01-02 01:00:00+00:00,39369.014604795324,40773.0,-1403.985395204676,3.443419407952998
2020-01-02 02:00:00+00:00,39260.1786551303,40795.0,-1534.8213448696988,3.762278085230295
2020-01-02 03:00:00+00:00,40482.04440340048,41774.0,-1291.9555965995169,3.0927265681991596
2020-01-02 04:00:00+00:00,42845.500743499506,43961.0,-1115.499256500494,2.5374747082652673
2020-01-02 05:00:00+00:00,47487.77800302703,47850.0,-362.2219969729704,0.7569947690135223
2020-01-02 06:00:00+00:00,52793.11331525845,52828.0,-34.88668474154838,0.06603824627384793
2020-01-02 07:00:00+00:00,56674.76805304908,56329.0,345.7680530490834,0.6138366614871263
2020-01-02 08:00:00+00:00,59762.32400093364,58780.0,982.3240009336369,1.6711874803226212
2020-01-02 09:00:00+00:00,62217.5914991343,59588.0,2629.5914991343016,4.412954788102137
2020-01-02 10:00:00+00:00,63547.293974250366,60169.0,3378.293974250366,5.614675288355076
2020-01-02 11:00:00+00:00,63845.43876943598,60786.0,3059.438769435983,5.033130604803709
2020-01-02 12:00:00+00:00,63004.94539127821,60272.0,2732.945391278212,4.534353250727057
