utc_timestamp,DE_load_forecast
2020-01-01 00:00:00+00:00,42475.5
2020-01-01 01:00:00+00:00,41366.6
2020-01-01 02:00:00+00:00,40115.5
2020-01-01 03:00:00+00:00,40401.8
2020-01-01 04:00:00+00:00,40298.7
2020-01-01 05:00:00+00:00,38657.2
2020-01-01 06:00:00+00:00,38112.5
2020-01-01 07:00:00+00:00,38702.0
2020-01-01 08:00:00+00:00,41568.3
2020-01-01 09:00:00+00:00,44051.4
2020-01-01 10:00:00+00:00,47053.1
2020-01-01 11:00:00+00:00,48339.6
2020-01-01 12:00:00+00:00,47619.2
2020-01-01 13:00:00+00:00,47144.3
2020-01-01 14:00:00+00:00,47243.5
2020-01-01 15:00:00+00:00,49185.8
2020-01-01 16:00:00+00:00,52638.1
2020-01-01 17:00:00+00:00,52783.0
2020-01-01 18:00:00+00:00,51425.0
2020-01-01 19:00:00+00:00,48998.4
2020-01-01 20:00:00+00:00,47297.2
2020-01-01 21:00:00+00:00,46445.1
2020-01-01 22:00:00+00:00,43772.3
2020-01-01 23:00:00+00:00,43790.7
2020-01-02 00:00:00+00:00,42323.5
2020-01-02 01:00:00+00:00,41803.4
2020-01-02 02:00:00+00:00,41504.2
2020-01-02 03:00:00+00:00,42489.8
2020-01-02 04:00:00+00:00,45084.0
2020-01-02 05:00:00+00:00,50584.5
2020-01-02 06:00:00+00:00,56108.8
2020-01-02 07:00:00+00:00,59367.7
2020-01-02 08:00:00+00:00,61893.5
2020-01-02 09:00:00+00:00,63503.5
2020-01-02 10:00:00+00:00,64677.3
2020-01-02 11:00:00+00:00,65068.6
2020-01-02 12:00:00+00:00,63962.9
2020-01-02 13:00:00+00:00,62765.2
2020-01-02 14:00:00+00:00,62361.9
2020-01-02 15:00:00+00:00,63360.7
2020-01-02 16:00:00+00:00,66588.8
2020-01-02 17:00:00+00:00,66288.0
2020-01-02 18:00:00+00:00,64398.5
2020-01-02 19:00:00+00:00,60663.0
2020-01-02 20:00:00+00:00,57667.1
2020-01-02 21:00:00+00:00,55832.0
2020-01-02 22:00:00+00:00,52093.2
2020-01-02 23:00:00+00:00,49281.1
2020-01-03 00:00:00+00:00,47358.2
2020-01-03 01:00:00+00:00,46633.7
2020-01-03 02:00:00+00:00,46695.3
2020-01-03 03:00:00+00:00,47374.1
2020-01-03 04:00:00+00:00,49442.4
2020-01-03 05:00:00+00:00,54908.2
2020-01-03 06:00:00+00:00,60308.2
2020-01-03 07:00:00+00:00,63570.0
2020-01-03 08:00:00+00:00,65421.1
2020-01-03 09:00:00+00:00,66035.3
2020-01-03 10:00:00+00:00,67106.3
2020-01-03 11:00:00+00:00,67105.0
2020-01-03 12:00:00+00:00,65821.6
2020-01-03 13:00:00+00:00,64414.4
2020-01-03 14:00:00+00:00,63990.2
2020-01-03 15:00:00+00:00,65276.7
2020-01-03 16:00:00+00:00,67579.7
2020-01-03 17:00:00+00:00,66918.7
2020-01-03 18:00:00+00:00,64565.4
2020-01-03 19:00:00+00:00,60495.2
2020-01-03 20:00:00+00:00,57941.7
2020-01-03 21:00:00+00:00,56212.3
2020-01-03 22:00:00+00:00,52230.4
2020-01-03 23:00:00+00:00,49102.2
2020-01-04 00:00:00+00:00,47075.5
2020-01-04 01:00:00+00:00,46024.0
2020-01-04 02:00:00+00:00,45501.5
2020-01-04 03:00:00+00:00,45882.9
2020-01-04 04:00:00+00:00,46190.6
2020-01-04 05:00:00+00:00,46899.4
2020-01-04 06:00:00+00:00,49833.2
2020-01-04 07:00:00+00:00,53496.8
2020-01-04 08:00:00+00:00,56434.8
2020-01-04 09:00:00+00:00,58009.3
2020-01-04 10:00:00+00:00,59241.7
2020-01-04 11:00:00+00:00,59040.3
2020-01-04 12:00:00+00:00,57543.2
2020-01-04 13:00:00+00:00,56266.6
2020-01-04 14:00:00+00:00,56193.5
2020-01-04 15:00:00+00:00,57480.4
2020-01-04 16:00:00+00:00,60182.1
2020-01-04 17:00:00+00:00,59849.9
2020-01-04 18:00:00+00:00,57945.4
2020-01-04 19:00:00+00:00,54403.8
2020-01-04 20:00:00+00:00,52125.4
2020-01-04 21:00:00+00:00,50982.4
2020-01-04 22:00:00+00:00,47752.1
2020-01-04 23:00:00+00:00,45246.0
2020-01-05 00:00:00+00:00,43226.7
2020-01-05 01:00:00+00:00,42117.3
2020-01-05 02:00:00+00:00,41596.4
2020-01-05 03:00:00+00:00,41417.9
2020-01-05 04:00:00+00:00,41029.0
2020-01-05 05:00:00+00:00,40644.9
2020-01-05 06:00:00+00:00,42470.5
2020-01-05 07:00:00+00:00,45752.0
2020-01-05 08:00:00+00:00,49223.9
2020-01-05 09:00:00+00:00,51822.6
2020-01-05 10:00:00+00:00,54045.7
2020-01-05 11:00:00+00:00,54281.4
2020-01-05 12:00:00+00:00,52813.2
2020-01-05 13:00:00+00:00,51874.5
2020-01-05 14:00:00+00:00,51419.4
2020-01-05 15:00:00+00:00,53120.4
2020-01-05 16:00:00+00:00,56359.4
2020-01-05 17:00:00+00:00,56960.9
2020-01-05 18:00:00+00:00,55562.0
2020-01-05 19:00:00+00:00,53368.9
2020-01-05 20:00:00+00:00,51805.3
2020-01-05 21:00:00+00:00,51422.0
2020-01-05 22:00:00+00:00,48019.5
2020-01-05 23:00:00+00:00,48972.4
2020-01-06 00:00:00+00:00,47367.6
2020-01-06 01:00:00+00:00,46810.8
2020-01-06 02:00:00+00:00,46772.0
2020-01-06 03:00:00+00:00,47629.1
2020-01-06 04:00:00+00:00,50481.1
2020-01-06 05:00:00+00:00,56195.2
2020-01-06 06:00:00+00:00,61962.8
2020-01-06 07:00:00+00:00,64931.9
2020-01-06 08:00:00+00:00,65527.3
2020-01-06 09:00:00+00:00,65999.7
2020-01-06 10:00:00+00:00,65885.6
2020-01-06 11:00:00+00:00,65957.1
2020-01-06 12:00:00+00:00,66044.7
2020-01-06 13:00:00+00:00,65509.4
2020-01-06 14:00:00+00:00,64981.0
2020-01-06 15:00:00+00:00,65742.3
2020-01-06 16:00:00+00:00,68953.2
2020-01-06 17:00:00+00:00,69220.4
2020-01-06 18:00:00+00:00,67724.5
2020-01-06 19:00:00+00:00,64863.6
2020-01-06 20:00:00+00:00,61893.0
2020-01-06 21:00:00+00:00,60104.6
2020-01-06 22:00:00+00:00,56282.0
2020-01-06 23:00:00+00:00,51100.2
2020-01-07 00:00:00+00:00,49231.5
2020-01-07 01:00:00+00:00,48787.4
2020-01-07 02:00:00+00:00,49081.1
2020-01-07 03:00:00+00:00,50504.7
2020-01-07 04:00:00+00:00,53351.1
2020-01-07 05:00:00+00:00,60572.7
2020-01-07 06:00:00+00:00,66168.1
2020-01-07 07:00:00+00:00,68343.9
2020-01-07 08:00:00+00:00,69089.6
2020-01-07 09:00:00+00:00,70133.2
2020-01-07 10:00:00+00:00,70998.5
2020-01-07 11:00:00+00:00,70919.0
2020-01-07 12:00:00+00:00,70595.9
2020-01-07 13:00:00+00:00,69544.7
2020-01-07 14:00:00+00:00,69043.4
2020-01-07 15:00:00+00:00,69764.4
2020-01-07 16:00:00+00:00,71750.5
2020-01-07 17:00:00+00:00,71175.1
2020-01-07 18:00:00+00:00,68895.4
2020-01-07 19:00:00+00:00,65662.8
2020-01-07 20:00:00+00:00,62136.7
2020-01-07 21:00:00+00:00,59744.6
2020-01-07 22:00:00+00:00,56090.7
2020-01-07 23:00:00+00:00,52889.1
