method,mae_mw,rmse_mw,mape_percent,wape_percent,bias_mw
calendar_only,2810.2669299581326,3447.7283580214103,5.0777195982305905,5.2627014845696065,2720.175663849053
previous_week,7237.976190476191,8808.602996502907,12.780588824669476,13.554338072599387,-6908.523809523809
previous_52_weeks,5483.214285714285,7253.414419299041,10.76146224426965,10.268248775240632,5483.214285714285
previous_365_days,4899.869047619048,5910.584062872781,9.175490650008738,9.175835873884619,2533.190476190476
