utc_timestamp,actual_mw,forecast_mw
2020-01-01 00:00:00+00:00,41187.0,40895.4
2020-01-01 01:00:00+00:00,40398.0,39332.1
2020-01-01 02:00:00+00:00,38919.0,38457.1
2020-01-01 03:00:00+00:00,38879.0,39457.9
2020-01-01 04:00:00+00:00,39162.0,37940.7
2020-01-01 05:00:00+00:00,37510.0,37838.8
2020-01-01 06:00:00+00:00,37892.0,36476.1
2020-01-01 07:00:00+00:00,38677.0,37979.3
2020-01-01 08:00:00+00:00,41091.0,41110.0
2020-01-01 09:00:00+00:00,43094.0,44740.9
2020-01-01 10:00:00+00:00,45249.0,48088.2
2020-01-01 11:00:00+00:00,46498.0,48350.6
2020-01-01 12:00:00+00:00,46328.0,47275.4
2020-01-01 13:00:00+00:00,45115.0,45632.1
2020-01-01 14:00:00+00:00,45039.0,45868.3
2020-01-01 15:00:00+00:00,47313.0,47091.5
2020-01-01 16:00:00+00:00,51194.0,51072.7
2020-01-01 17:00:00+00:00,51755.0,51642.6
2020-01-01 18:00:00+00:00,50732.0,50491.4
2020-01-01 19:00:00+00:00,48591.0,48235.2
2020-01-01 20:00:00+00:00,47664.0,47128.0
2020-01-01 21:00:00+00:00,46994.0,45248.0
2020-01-01 22:00:00+00:00,44105.0,44604.6
2020-01-01 23:00:00+00:00,42547.0,43355.4
2020-01-02 00:00:00+00:00,41194.0,41694.8
2020-01-02 01:00:00+00:00,40773.0,41730.3
2020-01-02 02:00:00+00:00,40795.0,41441.6
2020-01-02 03:00:00+00:00,41774.0,41580.3
2020-01-02 04:00:00+00:00,43961.0,43736.1
2020-01-02 05:00:00+00:00,47850.0,49313.6
2020-01-02 06:00:00+00:00,52828.0,54574.7
2020-01-02 07:00:00+00:00,56329.0,58251.4
2020-01-02 08:00:00+00:00,58780.0,60288.2
2020-01-02 09:00:00+00:00,59588.0,61326.3
2020-01-02 10:00:00+00:00,60169.0,62472.5
2020-01-02 11:00:00+00:00,60786.0,62454.9
2020-01-02 12:00:00+00:00,60272.0,61649.6
2020-01-02 13:00:00+00:00,59483.0,60473.6
2020-01-02 14:00:00+00:00,59173.0,60367.4
2020-01-02 15:00:00+00:00,60091.0,61771.3
2020-01-02 16:00:00+00:00,62599.0,64608.5
2020-01-02 17:00:00+00:00,62923.0,64445.3
2020-01-02 18:00:00+00:00,61932.0,62894.7
2020-01-02 19:00:00+00:00,58422.0,58850.0
2020-01-02 20:00:00+00:00,55661.0,55400.1
2020-01-02 21:00:00+00:00,54103.0,53770.6
2020-01-02 22:00:00+00:00,50732.0,50042.6
2020-01-02 23:00:00+00:00,47641.0,48659.0
2020-01-03 00:00:00+00:00,46071.0,46554.4
2020-01-03 01:00:00+00:00,45485.0,46346.8
2020-01-03 02:00:00+00:00,45301.0,46189.5
2020-01-03 03:00:00+00:00,46070.0,46954.9
2020-01-03 04:00:00+00:00,47894.0,48384.9
2020-01-03 05:00:00+00:00,51787.0,52826.7
2020-01-03 06:00:00+00:00,55935.0,58618.9
2020-01-03 07:00:00+00:00,59496.0,61455.4
2020-01-03 08:00:00+00:00,60888.0,63025.3
2020-01-03 09:00:00+00:00,61751.0,64330.0
2020-01-03 10:00:00+00:00,63204.0,64717.9
2020-01-03 11:00:00+00:00,63230.0,64471.6
2020-01-03 12:00:00+00:00,61575.0,63529.0
2020-01-03 13:00:00+00:00,60449.0,61584.6
2020-01-03 14:00:00+00:00,59983.0,61335.1
2020-01-03 15:00:00+00:00,60757.0,63472.9
2020-01-03 16:00:00+00:00,62491.0,65880.4
2020-01-03 17:00:00+00:00,62157.0,64430.0
2020-01-03 18:00:00+00:00,60931.0,62246.0
2020-01-03 19:00:00+00:00,56910.0,57947.6
2020-01-03 20:00:00+00:00,53806.0,54927.0
