utc_timestamp,mean_load_mw,min_load_mw,max_load_mw,energy_mwh
2020-01-01 00:00:00+00:00,44749.12,37450.25,51539.19,1073978.79
2020-01-02 00:00:00+00:00,56077.36,42440.00,64373.07,1345856.53
2020-01-03 00:00:00+00:00,57349.64,46530.01,64991.40,1376391.25
2020-01-04 00:00:00+00:00,51122.97,44213.33,58074.71,1226951.36
2020-01-05 00:00:00+00:00,48119.15,39882.30,55483.39,1154859.52
2020-01-06 00:00:00+00:00,57675.59,44209.99,64935.92,1384214.26
2020-01-07 00:00:00+00:00,60263.45,47774.84,67906.27,1446322.76
