model,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07
lightgbm,5.823362123163928,3.28126653393657,3.0336656280000445,2.9980505872892786,4.195209224563136,4.960768260476036,3.412415015760676
prophet,13.426919400016759,7.001579299978548,3.458659282607665,11.438415160250774,8.65977892571997,2.843774711968632,5.541722409720817
patchtst,39.62902716341548,12.7185783751216,6.490553606125691,6.270840795864907,5.545368814538612,6.581556633994985,4.5017734669318274
nbeats,38.60668411713045,11.05948014937994,7.979980387909409,6.717871940948758,5.549603764625352,7.0227366822747355,6.486963721032489
sarima,5.475964284708936,17.953559052775713,11.617541186516338,8.934909000467561,5.246715200311607,11.622855780772245,24.632659992038704
naive,6.51955384895017,19.172704652205187,12.35184559299282,9.39861454043081,5.543741753382584,11.769198938693286,24.708462446031472
