feature,gain
is_weekend,0.0
rolling_std_168h,3658.354957342148
month,4164.852131128311
lag_8760h,6753.94940662384
rolling_std_24h,7323.297276139259
rolling_mean_168h,8083.747955083847
is_public_holiday_de,11056.615914821625
hour,15997.752816438675
lag_24h,18368.520606279373
rolling_mean_24h,19036.82515323162
day_of_week,20895.572411298752
lag_168h,194505.99137234688
