utc_timestamp,point
2020-01-01 00:00:00,38223
2020-01-01 01:00:00,36936
2020-01-01 02:00:00,36637
2020-01-01 03:00:00,36614
2020-01-01 04:00:00,37078
2020-01-01 05:00:00,37024
2020-01-01 06:00:00,38634
2020-01-01 07:00:00,41955
2020-01-01 08:00:00,46241
2020-01-01 09:00:00,48911
2020-01-01 10:00:00,50798
2020-01-01 11:00:00,50512
2020-01-01 12:00:00,47742
2020-01-01 13:00:00,46317
2020-01-01 14:00:00,45547
2020-01-01 15:00:00,45486
2020-01-01 16:00:00,47631
2020-01-01 17:00:00,48297
2020-01-01 18:00:00,47359
2020-01-01 19:00:00,45470
2020-01-01 20:00:00,44323
2020-01-01 21:00:00,43864
2020-01-01 22:00:00,42040
2020-01-01 23:00:00,38605
2020-01-02 00:00:00,36909
2020-01-02 01:00:00,36332
2020-01-02 02:00:00,36001
2020-01-02 03:00:00,36971
2020-01-02 04:00:00,36983
2020-01-02 05:00:00,36841
2020-01-02 06:00:00,38525
2020-01-02 07:00:00,41091
2020-01-02 08:00:00,44267
2020-01-02 09:00:00,46808
2020-01-02 10:00:00,48752
2020-01-02 11:00:00,48859
2020-01-02 12:00:00,47162
2020-01-02 13:00:00,45890
2020-01-02 14:00:00,45970
2020-01-02 15:00:00,47567
2020-01-02 16:00:00,49325
2020-01-02 17:00:00,49152
2020-01-02 18:00:00,48165
2020-01-02 19:00:00,46401
2020-01-02 20:00:00,46178
2020-01-02 21:00:00,45993
2020-01-02 22:00:00,42662
2020-01-02 23:00:00,39888
2020-01-03 00:00:00,38475
2020-01-03 01:00:00,37791
2020-01-03 02:00:00,37799
2020-01-03 03:00:00,38745
2020-01-03 04:00:00,39944
2020-01-03 05:00:00,42398
2020-01-03 06:00:00,46574
2020-01-03 07:00:00,50036
2020-01-03 08:00:00,52587
2020-01-03 09:00:00,54000
2020-01-03 10:00:00,54759
2020-01-03 11:00:00,55273
2020-01-03 12:00:00,54667
2020-01-03 13:00:00,53887
2020-01-03 14:00:00,53753
2020-01-03 15:00:00,55131
2020-01-03 16:00:00,57337
2020-01-03 17:00:00,56762
2020-01-03 18:00:00,55187
2020-01-03 19:00:00,51828
2020-01-03 20:00:00,49501
2020-01-03 21:00:00,48037
2020-01-03 22:00:00,45266
2020-01-03 23:00:00,42462
2020-01-04 00:00:00,40814
2020-01-04 01:00:00,40342
2020-01-04 02:00:00,40202
2020-01-04 03:00:00,40883
2020-01-04 04:00:00,41089
2020-01-04 05:00:00,41373
2020-01-04 06:00:00,43751
2020-01-04 07:00:00,46965
2020-01-04 08:00:00,50213
2020-01-04 09:00:00,50682
2020-01-04 10:00:00,51465
2020-01-04 11:00:00,51386
2020-01-04 12:00:00,50320
2020-01-04 13:00:00,49026
2020-01-04 14:00:00,49858
2020-01-04 15:00:00,52455
2020-01-04 16:00:00,55652
2020-01-04 17:00:00,55695
2020-01-04 18:00:00,54137
2020-01-04 19:00:00,51244
2020-01-04 20:00:00,49084
2020-01-04 21:00:00,47918
2020-01-04 22:00:00,44642
2020-01-04 23:00:00,42135
2020-01-05 00:00:00,40202
2020-01-05 01:00:00,40075
2020-01-05 02:00:00,39498
2020-01-05 03:00:00,39325
2020-01-05 04:00:00,39090
2020-01-05 05:00:00,38272
2020-01-05 06:00:00,39156
2020-01-05 07:00:00,41759
2020-01-05 08:00:00,44765
2020-01-05 09:00:00,46032
2020-01-05 10:00:00,48260
2020-01-05 11:00:00,49349
2020-01-05 12:00:00,47541
2020-01-05 13:00:00,46312
2020-01-05 14:00:00,46671
2020-01-05 15:00:00,49244
2020-01-05 16:00:00,52332
2020-01-05 17:00:00,52958
2020-01-05 18:00:00,51943
2020-01-05 19:00:00,49806
2020-01-05 20:00:00,48362
2020-01-05 21:00:00,47950
2020-01-05 22:00:00,45146
2020-01-05 23:00:00,43026
2020-01-06 00:00:00,41138
2020-01-06 01:00:00,40026
2020-01-06 02:00:00,40194
2020-01-06 03:00:00,41114
2020-01-06 04:00:00,42845
2020-01-06 05:00:00,45099
2020-01-06 06:00:00,48828
2020-01-06 07:00:00,51706
2020-01-06 08:00:00,53959
2020-01-06 09:00:00,53475
2020-01-06 10:00:00,53629
2020-01-06 11:00:00,54139
2020-01-06 12:00:00,52653
2020-01-06 13:00:00,52431
2020-01-06 14:00:00,52719
2020-01-06 15:00:00,54457
2020-01-06 16:00:00,58272
2020-01-06 17:00:00,58564
2020-01-06 18:00:00,56927
2020-01-06 19:00:00,53959
2020-01-06 20:00:00,51937
2020-01-06 21:00:00,50574
2020-01-06 22:00:00,47382
2020-01-06 23:00:00,44018
2020-01-07 00:00:00,42023
2020-01-07 01:00:00,40856
2020-01-07 02:00:00,40388
2020-01-07 03:00:00,40835
2020-01-07 04:00:00,41447
2020-01-07 05:00:00,41596
2020-01-07 06:00:00,44124
2020-01-07 07:00:00,46802
2020-01-07 08:00:00,49456
2020-01-07 09:00:00,50937
2020-01-07 10:00:00,52026
2020-01-07 11:00:00,52394
2020-01-07 12:00:00,50637
2020-01-07 13:00:00,49459
2020-01-07 14:00:00,49378
2020-01-07 15:00:00,51219
2020-01-07 16:00:00,53428
2020-01-07 17:00:00,52637
2020-01-07 18:00:00,50151
2020-01-07 19:00:00,47493
2020-01-07 20:00:00,45842
2020-01-07 21:00:00,45501
2020-01-07 22:00:00,43969
2020-01-07 23:00:00,42335
