origin,model,MAE (MW),RMSE (MW),MAPE (%),Bias (MW),Max |err| (MW)
2019-01-01 00:00:00+01:00,calendar,2220.774145468343,2588.448474797003,4.0664514328968275,-1834.3444560284142,6263.999884951147
2019-01-01 00:00:00+01:00,calendar+lags,1144.8184512394268,1420.0633354617037,2.13285045849209,-225.65134890289434,3872.539706387004
2019-01-01 00:00:00+01:00,naive_last_week,6992.7202380952385,8874.353696453725,11.595414094856638,-6693.113095238095,22007.0
2019-01-08 00:00:00+01:00,calendar,3012.40658072969,3217.62276687292,4.865471210252506,-3012.40658072969,5314.828636021906
2019-01-08 00:00:00+01:00,calendar+lags,2611.203728809951,2945.641647438118,4.153993508072406,-2587.7974343320816,5949.714273459467
2019-01-08 00:00:00+01:00,naive_last_week,6943.857142857143,9626.848485454871,10.753253991624517,-6943.857142857143,33657.0
2019-01-15 00:00:00+01:00,calendar,1274.2335149262838,1589.296944221005,2.1209194485407674,-1215.2586693378703,4043.837332082563
2019-01-15 00:00:00+01:00,calendar+lags,863.7749488728576,1086.4622842490419,1.4194308301526473,551.044009681365,2997.448285812774
2019-01-15 00:00:00+01:00,naive_last_week,1375.6130952380952,1795.6963846798772,2.193927813609866,490.875,5101.0
2019-01-22 00:00:00+01:00,calendar,3405.6543105678456,3620.045585708075,5.452492937687192,-3405.6543105678456,5726.473722378381
2019-01-22 00:00:00+01:00,calendar+lags,1423.5104058222346,1660.1971430767376,2.3022345448279244,-913.1915412953084,4326.130978443653
2019-01-22 00:00:00+01:00,naive_last_week,1589.327380952381,1908.0680315689056,2.5643989553653608,-1270.8630952380952,4343.0
2019-01-29 00:00:00+01:00,calendar,2063.9243897355614,2340.686460542847,3.5029840975936253,-1956.868860135081,5074.313692549498
2019-01-29 00:00:00+01:00,calendar+lags,853.4776071080106,1046.4781917730954,1.3639405753031681,134.5777399305773,2536.1597201204713
2019-01-29 00:00:00+01:00,naive_last_week,1789.7559523809523,2108.164699165965,2.927798740231519,1571.1369047619048,4629.0
2019-02-05 00:00:00+01:00,calendar,1893.2778523918194,2323.433821497365,3.007122370291621,-1777.255609934625,5397.8956199678505
2019-02-05 00:00:00+01:00,calendar+lags,1101.14879235043,1329.762979709578,1.83774757872642,478.4901821603056,3680.57554472459
2019-02-05 00:00:00+01:00,naive_last_week,1101.7559523809523,1435.6215034578147,1.7455088040382336,-478.8154761904762,4082.0
2019-02-12 00:00:00+01:00,calendar,1549.475774132223,1867.6137587824726,2.503374684475015,-264.01090558609275,4234.795643758407
2019-02-12 00:00:00+01:00,calendar+lags,2364.1483738004817,2778.352467820399,4.005978425289122,2342.299356536053,5793.682971901551
2019-02-12 00:00:00+01:00,naive_last_week,2336.0119047619046,2988.759553170289,3.958848355736951,2258.3690476190477,7568.0
2019-02-19 00:00:00+01:00,calendar,1163.000753172855,1452.343524161241,2.027793389376635,375.20688124394707,3909.0652434516887
2019-02-19 00:00:00+01:00,calendar+lags,1915.9046343639868,2268.20826671942,3.3535791830547295,1430.0098708314404,5026.317890830134
2019-02-19 00:00:00+01:00,naive_last_week,1238.0595238095239,1549.2625703555748,2.1120588626877916,942.9047619047619,3955.0
2019-02-26 00:00:00+01:00,calendar,2793.42329186434,3258.0733465036487,5.000484759420474,2689.722549042213,7656.402244412166
2019-02-26 00:00:00+01:00,calendar+lags,2526.6641408522023,3098.2578752300083,4.663856966112047,2254.3838894038845,8443.116714780437
2019-02-26 00:00:00+01:00,naive_last_week,1473.297619047619,1790.3901942367334,2.494574283589248,704.547619047619,4557.0
2019-03-05 00:00:00+01:00,calendar,1270.5973996994514,1608.7876196319246,2.1423981899210496,-408.7116552707053,4231.898544333155
2019-03-05 00:00:00+01:00,calendar+lags,1336.835525708119,1618.4968188532143,2.324270560148562,-436.0636321292394,3770.350141892857
2019-03-05 00:00:00+01:00,naive_last_week,1342.9166666666667,1623.5088763011343,2.2965309605868574,-561.3452380952381,3988.0
2019-03-12 00:00:00+01:00,calendar,2121.1478467545753,2518.0071613351665,3.5300660993407793,-551.0683502649316,5220.485267221768
2019-03-12 00:00:00+01:00,calendar+lags,1875.1956563796512,2358.3556152706115,3.189947469810561,-105.87637677849133,5858.093718641627
2019-03-12 00:00:00+01:00,naive_last_week,1514.732142857143,1815.033190369492,2.519098323232066,-902.875,4945.0
2019-03-19 00:00:00+01:00,calendar,1711.5043510688813,2025.1023579435841,2.9444247118888733,755.9758925118533,4555.695688188411
2019-03-19 00:00:00+01:00,calendar+lags,1963.7995748405083,2443.704081180139,3.365657198155582,1797.598121712964,6519.107849021777
2019-03-19 00:00:00+01:00,naive_last_week,2803.8273809523807,3275.0928640051025,5.008258038974443,2641.9821428571427,7878.0
2019-03-26 00:00:00+01:00,calendar,1286.8239341305878,1547.9491857748578,2.353760662899625,-149.01319100776476,3733.3099458394718
2019-03-26 00:00:00+01:00,calendar+lags,1408.1265054146936,1723.8310193070636,2.544030966996594,-276.0722477339403,6318.8782755899665
2019-03-26 00:00:00+01:00,naive_last_week,1449.2916666666667,1952.3204706804913,2.6121759902668327,936.4821428571429,7630.0
2019-04-02 01:00:00+02:00,calendar,1099.0357169287727,1301.118126692216,2.0300910104228693,-973.6637034477188,2528.4092771076685
2019-04-02 01:00:00+02:00,calendar+lags,874.8168336730738,1119.5791323681976,1.5704451499616017,-386.2061780506657,4316.651816580277
2019-04-02 01:00:00+02:00,naive_last_week,1707.047619047619,2268.9514858714133,3.0314666808844244,62.726190476190474,7902.0
2019-04-09 01:00:00+02:00,calendar,1719.462732213365,1993.1216502589753,3.3146859436837235,-1522.586065821201,4253.082895855834
2019-04-09 01:00:00+02:00,calendar+lags,1315.9549892797986,1681.732103836778,2.5735175198215554,-1054.8141475755951,4277.909178746326
2019-04-09 01:00:00+02:00,naive_last_week,1070.845238095238,1330.6213908224554,2.0100939443950154,-336.1666666666667,3463.0
2019-04-16 01:00:00+02:00,calendar,2218.283503495816,2662.9542486533924,4.894405340680249,653.800191406961,5879.382175399689
2019-04-16 01:00:00+02:00,calendar+lags,2686.0522797365065,3242.6463093465404,6.139966109121726,1859.7265936564504,7721.762058132706
2019-04-16 01:00:00+02:00,naive_last_week,7473.339285714285,9870.138954550886,17.217501084638602,7334.958333333333,25424.0
2019-04-23 01:00:00+02:00,calendar,1598.577632942657,2210.965919161407,3.045670129065576,-268.8953062095127,5727.784337129153
2019-04-23 01:00:00+02:00,calendar+lags,1278.552400673032,1690.620853753376,2.4591374960695607,655.332247666875,5817.322108174638
2019-04-23 01:00:00+02:00,naive_last_week,6828.035714285715,9244.239883506352,12.473620942396824,-5196.142857142857,24374.0
2019-04-30 01:00:00+02:00,calendar,1740.328738573365,2120.7726635853387,3.4020627981898297,-702.8123488907333,5847.267719398973
2019-04-30 01:00:00+02:00,calendar+lags,1448.385924301274,1804.2532136606528,2.7952182140688326,-120.43202263165283,6170.421974145276
2019-04-30 01:00:00+02:00,naive_last_week,3166.934523809524,5703.537923016354,6.625094615508023,1323.0059523809523,21051.0
2019-05-07 01:00:00+02:00,calendar,2022.9938284883624,2469.7296685722035,3.7897490625075845,-1744.8568273347573,6124.369075276336
