utc_timestamp,actual_mw,forecast_mw
2020-01-01 00:00:00+00:00,41187.0,40822.0
2020-01-01 01:00:00+00:00,40398.0,39880.0
2020-01-01 02:00:00+00:00,38919.0,39495.0
2020-01-01 03:00:00+00:00,38879.0,39027.0
2020-01-01 04:00:00+00:00,39162.0,40722.0
2020-01-01 05:00:00+00:00,37510.0,41815.0
2020-01-01 06:00:00+00:00,37892.0,38407.0
2020-01-01 07:00:00+00:00,38677.0,42408.0
2020-01-01 08:00:00+00:00,41091.0,45932.0
2020-01-01 09:00:00+00:00,43094.0,49011.0
2020-01-01 10:00:00+00:00,45249.0,50292.0
2020-01-01 11:00:00+00:00,46498.0,50038.0
2020-01-01 12:00:00+00:00,46328.0,48482.0
2020-01-01 13:00:00+00:00,45115.0,47373.0
2020-01-01 14:00:00+00:00,45039.0,47289.0
2020-01-01 15:00:00+00:00,47313.0,48034.0
2020-01-01 16:00:00+00:00,51194.0,52519.0
2020-01-01 17:00:00+00:00,51755.0,52861.0
2020-01-01 18:00:00+00:00,50732.0,50540.0
2020-01-01 19:00:00+00:00,48591.0,48580.0
2020-01-01 20:00:00+00:00,47664.0,46988.0
2020-01-01 21:00:00+00:00,46994.0,46619.0
2020-01-01 22:00:00+00:00,44105.0,48496.0
2020-01-01 23:00:00+00:00,42547.0,43605.0
2020-01-02 00:00:00+00:00,41194.0,42451.0
2020-01-02 01:00:00+00:00,40773.0,43345.0
2020-01-02 02:00:00+00:00,40795.0,43206.0
2020-01-02 03:00:00+00:00,41774.0,44291.0
2020-01-02 04:00:00+00:00,43961.0,47305.0
2020-01-02 05:00:00+00:00,47850.0,51595.0
2020-01-02 06:00:00+00:00,52828.0,55743.0
2020-01-02 07:00:00+00:00,56329.0,61451.0
2020-01-02 08:00:00+00:00,58780.0,63150.0
2020-01-02 09:00:00+00:00,59588.0,64347.0
2020-01-02 10:00:00+00:00,60169.0,65702.0
2020-01-02 11:00:00+00:00,60786.0,66161.0
2020-01-02 12:00:00+00:00,60272.0,64715.0
2020-01-02 13:00:00+00:00,59483.0,63553.0
2020-01-02 14:00:00+00:00,59173.0,63728.0
2020-01-02 15:00:00+00:00,60091.0,64845.0
2020-01-02 16:00:00+00:00,62599.0,69047.0
2020-01-02 17:00:00+00:00,62923.0,69106.0
2020-01-02 18:00:00+00:00,61932.0,65344.0
2020-01-02 19:00:00+00:00,58422.0,61994.0
2020-01-02 20:00:00+00:00,55661.0,58371.0
2020-01-02 21:00:00+00:00,54103.0,57735.0
2020-01-02 22:00:00+00:00,50732.0,53613.0
2020-01-02 23:00:00+00:00,47641.0,50988.0
2020-01-03 00:00:00+00:00,46071.0,50215.0
2020-01-03 01:00:00+00:00,45485.0,49579.0
2020-01-03 02:00:00+00:00,45301.0,49644.0
2020-01-03 03:00:00+00:00,46070.0,50454.0
2020-01-03 04:00:00+00:00,47894.0,51910.0
2020-01-03 05:00:00+00:00,51787.0,57594.0
2020-01-03 06:00:00+00:00,55935.0,62823.0
2020-01-03 07:00:00+00:00,59496.0,66044.0
2020-01-03 08:00:00+00:00,60888.0,67180.0
2020-01-03 09:00:00+00:00,61751.0,68253.0
2020-01-03 10:00:00+00:00,63204.0,69061.0
2020-01-03 11:00:00+00:00,63230.0,68948.0
2020-01-03 12:00:00+00:00,61575.0,67703.0
2020-01-03 13:00:00+00:00,60449.0,66574.0
2020-01-03 14:00:00+00:00,59983.0,66336.0
2020-01-03 15:00:00+00:00,60757.0,67450.0
2020-01-03 16:00:00+00:00,62491.0,68563.0
2020-01-03 17:00:00+00:00,62157.0,68124.0
2020-01-03 18:00:00+00:00,60931.0,66382.0
2020-01-03 19:00:00+00:00,56910.0,62959.0
