utc_timestamp,DE_load_forecast_mw
2020-01-01 00:00:00+00:00,40461.0
2020-01-01 01:00:00+00:00,39797.5
2020-01-01 02:00:00+00:00,39105.1
2020-01-01 03:00:00+00:00,39786.9
2020-01-01 04:00:00+00:00,39077.4
2020-01-01 05:00:00+00:00,40860.0
2020-01-01 06:00:00+00:00,43508.4
2020-01-01 07:00:00+00:00,43112.9
2020-01-01 08:00:00+00:00,44533.9
2020-01-01 09:00:00+00:00,46701.3
2020-01-01 10:00:00+00:00,48187.2
2020-01-01 11:00:00+00:00,48606.8
2020-01-01 12:00:00+00:00,48043.5
2020-01-01 13:00:00+00:00,47283.5
2020-01-01 14:00:00+00:00,47404.5
2020-01-01 15:00:00+00:00,48508.4
2020-01-01 16:00:00+00:00,53690.0
2020-01-01 17:00:00+00:00,54275.7
2020-01-01 18:00:00+00:00,49850.7
2020-01-01 19:00:00+00:00,48718.4
2020-01-01 20:00:00+00:00,47854.6
2020-01-01 21:00:00+00:00,50080.2
2020-01-01 22:00:00+00:00,47035.7
2020-01-01 23:00:00+00:00,45671.9
2020-01-02 00:00:00+00:00,44319.7
2020-01-02 01:00:00+00:00,43902.2
2020-01-02 02:00:00+00:00,43842.3
2020-01-02 03:00:00+00:00,44668.4
2020-01-02 04:00:00+00:00,47074.0
2020-01-02 05:00:00+00:00,52257.4
2020-01-02 06:00:00+00:00,56957.0
2020-01-02 07:00:00+00:00,59592.8
2020-01-02 08:00:00+00:00,61460.9
2020-01-02 09:00:00+00:00,62347.0
2020-01-02 10:00:00+00:00,64336.9
2020-01-02 11:00:00+00:00,64426.3
2020-01-02 12:00:00+00:00,63109.9
2020-01-02 13:00:00+00:00,61955.1
2020-01-02 14:00:00+00:00,61638.8
2020-01-02 15:00:00+00:00,62611.0
2020-01-02 16:00:00+00:00,65444.5
2020-01-02 17:00:00+00:00,65322.2
2020-01-02 18:00:00+00:00,63760.2
2020-01-02 19:00:00+00:00,60431.8
2020-01-02 20:00:00+00:00,57583.9
2020-01-02 21:00:00+00:00,55131.9
2020-01-02 22:00:00+00:00,52154.4
2020-01-02 23:00:00+00:00,49155.3
2020-01-03 00:00:00+00:00,47469.9
2020-01-03 01:00:00+00:00,46452.1
2020-01-03 02:00:00+00:00,46761.5
2020-01-03 03:00:00+00:00,47728.8
2020-01-03 04:00:00+00:00,49769.8
2020-01-03 05:00:00+00:00,55219.0
2020-01-03 06:00:00+00:00,60838.5
2020-01-03 07:00:00+00:00,63983.6
2020-01-03 08:00:00+00:00,65554.2
2020-01-03 09:00:00+00:00,66415.9
2020-01-03 10:00:00+00:00,66905.3
2020-01-03 11:00:00+00:00,67255.6
2020-01-03 12:00:00+00:00,66262.4
2020-01-03 13:00:00+00:00,64684.1
2020-01-03 14:00:00+00:00,64544.7
2020-01-03 15:00:00+00:00,65454.2
2020-01-03 16:00:00+00:00,66902.2
2020-01-03 17:00:00+00:00,66457.0
2020-01-03 18:00:00+00:00,64309.2
2020-01-03 19:00:00+00:00,60297.6
2020-01-03 20:00:00+00:00,56678.4
2020-01-03 21:00:00+00:00,55242.8
2020-01-03 22:00:00+00:00,51362.9
2020-01-03 23:00:00+00:00,48236.3
2020-01-04 00:00:00+00:00,46626.0
2020-01-04 01:00:00+00:00,45530.2
2020-01-04 02:00:00+00:00,44877.4
2020-01-04 03:00:00+00:00,45658.5
2020-01-04 04:00:00+00:00,45767.0
2020-01-04 05:00:00+00:00,46267.8
2020-01-04 06:00:00+00:00,48640.2
2020-01-04 07:00:00+00:00,51482.8
2020-01-04 08:00:00+00:00,53890.2
2020-01-04 09:00:00+00:00,56433.2
2020-01-04 10:00:00+00:00,58107.9
2020-01-04 11:00:00+00:00,57964.3
2020-01-04 12:00:00+00:00,57059.0
2020-01-04 13:00:00+00:00,55488.1
2020-01-04 14:00:00+00:00,55528.8
2020-01-04 15:00:00+00:00,56474.5
2020-01-04 16:00:00+00:00,58759.2
2020-01-04 17:00:00+00:00,58530.0
2020-01-04 18:00:00+00:00,57227.8
2020-01-04 19:00:00+00:00,53866.6
2020-01-04 20:00:00+00:00,51873.6
2020-01-04 21:00:00+00:00,49799.4
2020-01-04 22:00:00+00:00,47064.0
2020-01-04 23:00:00+00:00,44529.8
2020-01-05 00:00:00+00:00,42705.9
2020-01-05 01:00:00+00:00,41845.0
2020-01-05 02:00:00+00:00,41523.9
2020-01-05 03:00:00+00:00,41606.3
2020-01-05 04:00:00+00:00,41405.4
2020-01-05 05:00:00+00:00,41309.9
2020-01-05 06:00:00+00:00,42109.2
2020-01-05 07:00:00+00:00,45173.7
2020-01-05 08:00:00+00:00,48304.5
2020-01-05 09:00:00+00:00,50136.6
2020-01-05 10:00:00+00:00,53079.8
2020-01-05 11:00:00+00:00,53397.2
2020-01-05 12:00:00+00:00,51922.9
2020-01-05 13:00:00+00:00,51040.3
2020-01-05 14:00:00+00:00,50236.7
2020-01-05 15:00:00+00:00,52746.8
2020-01-05 16:00:00+00:00,55534.0
2020-01-05 17:00:00+00:00,55651.6
2020-01-05 18:00:00+00:00,54137.3
2020-01-05 19:00:00+00:00,51651.9
2020-01-05 20:00:00+00:00,49636.7
2020-01-05 21:00:00+00:00,49451.8
2020-01-05 22:00:00+00:00,47462.0
2020-01-05 23:00:00+00:00,43787.9
2020-01-06 00:00:00+00:00,42229.5
2020-01-06 01:00:00+00:00,41532.4
2020-01-06 02:00:00+00:00,42031.9
2020-01-06 03:00:00+00:00,43234.4
2020-01-06 04:00:00+00:00,46870.8
2020-01-06 05:00:00+00:00,55460.0
2020-01-06 06:00:00+00:00,62456.8
2020-01-06 07:00:00+00:00,64964.9
2020-01-06 08:00:00+00:00,65387.8
2020-01-06 09:00:00+00:00,66320.4
2020-01-06 10:00:00+00:00,66744.0
2020-01-06 11:00:00+00:00,66673.9
2020-01-06 12:00:00+00:00,66393.9
2020-01-06 13:00:00+00:00,65835.9
2020-01-06 14:00:00+00:00,65660.1
2020-01-06 15:00:00+00:00,65737.1
2020-01-06 16:00:00+00:00,67093.5
2020-01-06 17:00:00+00:00,66979.9
2020-01-06 18:00:00+00:00,66340.5
2020-01-06 19:00:00+00:00,63104.4
2020-01-06 20:00:00+00:00,60032.1
2020-01-06 21:00:00+00:00,57086.6
2020-01-06 22:00:00+00:00,53017.8
2020-01-06 23:00:00+00:00,50633.0
2020-01-07 00:00:00+00:00,48202.3
2020-01-07 01:00:00+00:00,47227.2
2020-01-07 02:00:00+00:00,48014.2
2020-01-07 03:00:00+00:00,50069.0
2020-01-07 04:00:00+00:00,52892.9
2020-01-07 05:00:00+00:00,60718.7
2020-01-07 06:00:00+00:00,66488.6
2020-01-07 07:00:00+00:00,67535.9
2020-01-07 08:00:00+00:00,67997.5
2020-01-07 09:00:00+00:00,68364.2
2020-01-07 10:00:00+00:00,68711.6
