utc_timestamp,actual_MW,forecast_MW
2020-01-01 00:00:00+00:00,41187.0,42018.56388990187
2020-01-01 01:00:00+00:00,40398.0,41147.90945174348
2020-01-01 02:00:00+00:00,38919.0,40225.23392833969
2020-01-01 03:00:00+00:00,38879.0,39805.12948019958
2020-01-01 04:00:00+00:00,39162.0,39464.410120358436
2020-01-01 05:00:00+00:00,37510.0,38888.576088100766
2020-01-01 06:00:00+00:00,37892.0,38679.66516879766
2020-01-01 07:00:00+00:00,38677.0,42405.86468749353
2020-01-01 08:00:00+00:00,41091.0,44638.68529783416
2020-01-01 09:00:00+00:00,43094.0,47429.096168460674
2020-01-01 10:00:00+00:00,45249.0,49301.867116218134
2020-01-01 11:00:00+00:00,46498.0,49775.63289054281
2020-01-01 12:00:00+00:00,46328.0,49130.94270863475
2020-01-01 13:00:00+00:00,45115.0,47719.64489865727
2020-01-01 14:00:00+00:00,45039.0,47228.44631801081
2020-01-01 15:00:00+00:00,47313.0,49633.53702982889
2020-01-01 16:00:00+00:00,51194.0,53430.883763839665
2020-01-01 17:00:00+00:00,51755.0,54260.065862036514
2020-01-01 18:00:00+00:00,50732.0,52650.20164390608
2020-01-01 19:00:00+00:00,48591.0,50357.790003008085
2020-01-01 20:00:00+00:00,47664.0,48281.426743144286
2020-01-01 21:00:00+00:00,46994.0,49555.20005966447
2020-01-01 22:00:00+00:00,44105.0,46275.11932920788
2020-01-01 23:00:00+00:00,42547.0,47430.867349850465
2020-01-02 00:00:00+00:00,41194.0,40874.838875451445
2020-01-02 01:00:00+00:00,40773.0,39501.52854608688
2020-01-02 02:00:00+00:00,40795.0,39751.44938327191
2020-01-02 03:00:00+00:00,41774.0,40626.7816668303
2020-01-02 04:00:00+00:00,43961.0,44479.946691642544
2020-01-02 05:00:00+00:00,47850.0,50219.05959488508
2020-01-02 06:00:00+00:00,52828.0,56494.351971294695
2020-01-02 07:00:00+00:00,56329.0,59735.032292429045
2020-01-02 08:00:00+00:00,58780.0,62184.88866590559
2020-01-02 09:00:00+00:00,59588.0,63743.2806558797
2020-01-02 10:00:00+00:00,60169.0,64939.20021718287
2020-01-02 11:00:00+00:00,60786.0,65386.93329133433
2020-01-02 12:00:00+00:00,60272.0,65334.69929670569
