utc_timestamp,point
2020-01-01 00:00:00,38223.000
2020-01-01 01:00:00,36936.000
2020-01-01 02:00:00,36637.000
2020-01-01 03:00:00,36614.000
2020-01-01 04:00:00,37078.000
2020-01-01 05:00:00,37024.000
2020-01-01 06:00:00,38634.000
2020-01-01 07:00:00,41955.000
2020-01-01 08:00:00,46241.000
2020-01-01 09:00:00,48911.000
2020-01-01 10:00:00,50798.000
2020-01-01 11:00:00,50512.000
2020-01-01 12:00:00,47742.000
2020-01-01 13:00:00,46317.000
2020-01-01 14:00:00,45547.000
2020-01-01 15:00:00,45486.000
2020-01-01 16:00:00,47631.000
2020-01-01 17:00:00,48297.000
2020-01-01 18:00:00,47359.000
2020-01-01 19:00:00,45470.000
2020-01-01 20:00:00,44323.000
2020-01-01 21:00:00,43864.000
2020-01-01 22:00:00,42040.000
2020-01-01 23:00:00,38605.000
2020-01-02 00:00:00,36909.000
2020-01-02 01:00:00,36332.000
2020-01-02 02:00:00,36001.000
2020-01-02 03:00:00,36971.000
2020-01-02 04:00:00,36983.000
2020-01-02 05:00:00,36841.000
2020-01-02 06:00:00,38525.000
2020-01-02 07:00:00,41091.000
2020-01-02 08:00:00,44267.000
2020-01-02 09:00:00,46808.000
2020-01-02 10:00:00,48752.000
2020-01-02 11:00:00,48859.000
2020-01-02 12:00:00,47162.000
2020-01-02 13:00:00,45890.000
2020-01-02 14:00:00,45970.000
2020-01-02 15:00:00,47567.000
2020-01-02 16:00:00,49325.000
2020-01-02 17:00:00,49152.000
2020-01-02 18:00:00,48165.000
2020-01-02 19:00:00,46401.000
2020-01-02 20:00:00,46178.000
2020-01-02 21:00:00,45993.000
2020-01-02 22:00:00,42662.000
2020-01-02 23:00:00,39888.000
2020-01-03 00:00:00,38475.000
2020-01-03 01:00:00,37791.000
2020-01-03 02:00:00,37799.000
2020-01-03 03:00:00,38745.000
2020-01-03 04:00:00,39944.000
2020-01-03 05:00:00,42398.000
2020-01-03 06:00:00,46574.000
2020-01-03 07:00:00,50036.000
2020-01-03 08:00:00,52587.000
2020-01-03 09:00:00,54000.000
2020-01-03 10:00:00,54759.000
2020-01-03 11:00:00,55273.000
2020-01-03 12:00:00,54667.000
2020-01-03 13:00:00,53887.000
2020-01-03 14:00:00,53753.000
2020-01-03 15:00:00,55131.000
2020-01-03 16:00:00,57337.000
2020-01-03 17:00:00,56762.000
2020-01-03 18:00:00,55187.000
2020-01-03 19:00:00,51828.000
2020-01-03 20:00:00,49501.000
