ds,weekly
2020-01-06 00:00:00,-1535.6275451808713
2020-01-06 01:00:00,-366.59376833088106
2020-01-06 02:00:00,691.2480359484749
2020-01-06 03:00:00,1618.4290061707259
2020-01-06 04:00:00,2401.064757944248
2020-01-06 05:00:00,3031.213545395422
2020-01-06 06:00:00,3506.9695742341573
2020-01-06 07:00:00,3832.292932462445
2020-01-06 08:00:00,4016.5897117411187
2020-01-06 09:00:00,4074.06718731049
2020-01-06 10:00:00,4022.8988822767997
2020-01-06 11:00:00,3884.242502992561
2020-01-06 12:00:00,3681.1597258780794
2020-01-06 13:00:00,3437.490390822131
2020-01-06 14:00:00,3176.7346634323726
2020-01-06 15:00:00,2920.9951655951945
2020-01-06 16:00:00,2690.0270443847094
2020-01-06 17:00:00,2500.437688526848
2020-01-06 18:00:00,2365.069644988765
2020-01-06 19:00:00,2292.590660830244
2020-01-06 20:00:00,2287.3041683768624
2020-01-06 21:00:00,2349.1824808877445
2020-01-06 22:00:00,2474.1140176868566
2020-01-06 23:00:00,2654.3455707450325
2020-01-07 00:00:00,2879.0914565061985
2020-01-07 01:00:00,3135.2738027768705
2020-01-07 02:00:00,3408.3525524600445
2020-01-07 03:00:00,3683.2002762459724
2020-01-07 04:00:00,3944.9757116143815
2020-01-07 05:00:00,4179.95111214714
2020-01-07 06:00:00,4376.251899270346
2020-01-07 07:00:00,4524.4725541123225
2020-01-07 08:00:00,4618.13986369765
2020-01-07 09:00:00,4654.003149829627
2020-01-07 10:00:00,4632.140513546492
2020-01-07 11:00:00,4555.879925895879
2020-01-07 12:00:00,4431.543682489736
2020-01-07 13:00:00,4268.033823063429
2020-01-07 14:00:00,4076.28413562483
2020-01-07 15:00:00,3868.610924255208
2020-01-07 16:00:00,3657.999499904056
2020-01-07 17:00:00,3457.3661278462155
2020-01-07 18:00:00,3278.835824267776
2020-01-07 19:00:00,3133.0749167057957
2020-01-07 20:00:00,3028.713784256005
2020-01-07 21:00:00,2971.8898694638783
2020-01-07 22:00:00,2965.9342089966963
2020-01-07 23:00:00,3011.216734137759
2020-01-08 00:00:00,3105.1568808447055
2020-01-08 01:00:00,3242.3970808180648
2020-01-08 02:00:00,3415.1279594579732
2020-01-08 03:00:00,3613.5459983431956
2020-01-08 04:00:00,3826.417447891747
2020-01-08 05:00:00,4041.7167677197335
2020-01-08 06:00:00,4247.304092727333
2020-01-08 07:00:00,4431.604379547128
2020-01-08 08:00:00,4584.2510489619735
2020-01-08 09:00:00,4696.659095526514
2020-01-08 10:00:00,4762.4966563042335
2020-01-08 11:00:00,4778.029695364197
2020-01-08 12:00:00,4742.3214600791725
2020-01-08 13:00:00,4657.276322171063
2020-01-08 14:00:00,4527.526105123929
2020-01-08 15:00:00,4360.165564978459
2020-01-08 16:00:00,4164.351877188993
2020-01-08 17:00:00,3950.790354264993
2020-01-08 18:00:00,3731.13478335978
2020-01-08 19:00:00,3517.335402333797
2020-01-08 20:00:00,3320.970382872938
2020-01-08 21:00:00,3152.5976041605913
2020-01-08 22:00:00,3021.162435275519
2020-01-08 23:00:00,2933.494246649781
2020-01-09 00:00:00,2893.919607896134
2020-01-09 01:00:00,2904.0138400258493
2020-01-09 02:00:00,2962.505116919466
2020-01-09 03:00:00,3065.3370421284803
2020-01-09 04:00:00,3205.887004935368
2020-01-09 05:00:00,3375.3291014258657
2020-01-09 06:00:00,3563.122447450784
2020-01-09 07:00:00,3757.598736676982
2020-01-09 08:00:00,3946.617288858503
2020-01-09 09:00:00,4118.251892448675
2020-01-09 10:00:00,4261.4716982941645
2020-01-09 11:00:00,4366.778385382371
2020-01-09 12:00:00,4426.763812469502
2020-01-09 13:00:00,4436.556304446949
2020-01-09 14:00:00,4394.129402097623
2020-01-09 15:00:00,4300.454047161789
2020-01-09 16:00:00,4159.483413327497
2020-01-09 17:00:00,3977.9685049385985
2020-01-09 18:00:00,3765.1117655351486
2020-01-09 19:00:00,3532.0747859964167
2020-01-09 20:00:00,3291.364312854465
2020-01-09 21:00:00,3056.127692412249
2020-01-09 22:00:00,2839.3942716661813
2020-01-09 23:00:00,2653.302809062943
2020-01-10 00:00:00,2508.3564218819843
2020-01-10 01:00:00,2412.7459094514616
2020-01-10 02:00:00,2371.7794478136793
2020-01-10 03:00:00,2387.4517774816923
2020-01-10 04:00:00,2458.1793211793442
2020-01-10 05:00:00,2578.7194979500932
2020-01-10 06:00:00,2740.283246710652
2020-01-10 07:00:00,2930.839894078166
2020-01-10 08:00:00,3135.603502499664
2020-01-10 09:00:00,3337.6802223853924
2020-01-10 10:00:00,3518.847446249931
2020-01-10 11:00:00,3660.4281833228606
2020-01-10 12:00:00,3744.2184307904135
2020-01-10 13:00:00,3753.42172894569
2020-01-10 14:00:00,3673.5437640896553
2020-01-10 15:00:00,3493.200917316503
2020-01-10 16:00:00,3204.8000439230036
2020-01-10 17:00:00,2805.0523555247373
2020-01-10 18:00:00,2295.291827783624
2020-01-10 19:00:00,1681.577713955813
2020-01-10 20:00:00,974.5710716613808
2020-01-10 21:00:00,189.18621535193697
2020-01-10 22:00:00,-655.9708573407792
2020-01-10 23:00:00,-1539.354297371482
2020-01-11 00:00:00,-2437.387959448949
2020-01-11 01:00:00,-3325.4918280953266
2020-01-11 02:00:00,-4179.1780286494595
2020-01-11 03:00:00,-4975.1649170574465
2020-01-11 04:00:00,-5692.4559837233555
2020-01-11 05:00:00,-6313.331120676278
2020-01-11 06:00:00,-6824.2011765715315
2020-01-11 07:00:00,-7216.282534087455
2020-01-11 08:00:00,-7486.056426624063
2020-01-11 09:00:00,-7635.487509669985
2020-01-11 10:00:00,-7671.987351541541
2020-01-11 11:00:00,-7608.120494720438
2020-01-11 12:00:00,-7461.06298053802
2020-01-11 13:00:00,-7251.835144937618
2020-01-11 14:00:00,-7004.34150012941
2020-01-11 15:00:00,-6744.2600818278215
2020-01-11 16:00:00,-6497.8312854311425
2020-01-11 17:00:00,-6290.601561848165
2020-01-11 18:00:00,-6146.180110264488
2020-01-11 19:00:00,-6085.066747717842
2020-01-11 20:00:00,-6123.606420879453
2020-01-11 21:00:00,-6273.120473384571
2020-01-11 22:00:00,-6539.257021357919
2020-01-11 23:00:00,-6921.592978522546
2020-01-12 00:00:00,-7413.508862555212
2020-01-12 01:00:00,-8002.3450366292545
2020-01-12 02:00:00,-8669.835083957105
2020-01-12 03:00:00,-9392.799183264215
2020-01-12 04:00:00,-10144.068259859347
2020-01-12 05:00:00,-10893.598903990955
2020-01-12 06:00:00,-11609.730083750157
2020-01-12 07:00:00,-12260.525962791316
2020-01-12 08:00:00,-12815.14498917311
2020-01-12 09:00:00,-13245.174037796642
2020-01-12 10:00:00,-13525.867845144317
2020-01-12 11:00:00,-13637.238198256342
2020-01-12 12:00:00,-13564.944131174394
2020-01-12 13:00:00,-13300.943424521216
2020-01-12 14:00:00,-12843.876570140063
2020-01-12 15:00:00,-12199.166537513864
2020-01-12 16:00:00,-11378.830593244496
2020-01-12 17:00:00,-10401.013469249876
2020-01-12 18:00:00,-9289.263735749859
2020-01-12 19:00:00,-8071.586732150682
2020-01-12 20:00:00,-6779.317299106985
2020-01-12 21:00:00,-5445.863388815178
2020-01-12 22:00:00,-4105.377054879497
2020-01-12 23:00:00,-2791.4120846408496
