utc_timestamp,point_mw,q0.025_mw,q0.1_mw,q0.5_mw,q0.9_mw,q0.975_mw
2020-01-01 00:00:00,33330.44510542134,27890.260901248832,29799.609946277575,33554.61878933177,37392.71945817782,39237.732307287144
2020-01-01 01:00:00,33167.982752438096,27733.1718419004,29326.61509083921,33165.0157629112,36817.059697669036,39159.70958599458
2020-01-01 02:00:00,33899.509503100315,28336.500749096682,30083.857382920876,33865.7774137166,37548.41634700537,40006.42318115519
2020-01-01 03:00:00,35956.86595553855,30301.929562680525,32187.931556242693,35869.89587680706,39702.60075907466,41805.579020166515
2020-01-01 04:00:00,40368.8929517422,35178.335031254814,36802.15762601302,40517.34641824322,44092.46736977489,46254.03313991509
2020-01-01 05:00:00,45595.135788972126,40085.64582861643,41777.3716104286,45746.01301465431,49589.91351050476,51672.258900939174
2020-01-01 06:00:00,49673.69922174244,44123.53373988533,46061.39884395327,49600.8802770606,53424.618616215426,55641.91466802521
2020-01-01 07:00:00,51901.677743231085,46112.85842351174,48290.59490132769,51827.29482616113,55606.01157578776,57420.87556198535
2020-01-01 08:00:00,53469.07028074984,47723.75732508183,49793.796412177864,53387.13685144958,57082.045829312025,58918.410407684176
2020-01-01 09:00:00,54854.60474548367,49770.11205123339,51393.87836209829,54973.05031410758,58611.53242236384,60652.60922549879
2020-01-01 10:00:00,55002.669837457004,48904.51869760454,51177.06404843146,55104.24478864788,58655.12445051333,60549.00911685862
2020-01-01 11:00:00,54112.0651199778,48469.381870171055,50387.91119070406,54355.86204432273,58043.316980365475,59940.6784084281
2020-01-01 12:00:00,52822.591340743944,47467.53589015322,49213.70021909998,52850.17028312283,56379.91559490356,58811.153335759256
2020-01-01 13:00:00,51616.064921356716,46362.22493678,48273.37451873639,51800.109188529634,55395.57965854578,57229.66765313819
2020-01-01 14:00:00,50627.86817988871,44877.42192702836,46958.272865815656,50610.1324640717,54308.36334639258,56376.44587020663
2020-01-01 15:00:00,50588.845881125744,45072.23943731571,46930.38464104978,50609.77465064668,54302.54217394753,55905.49561094707
2020-01-01 16:00:00,51524.730858084244,45829.90118936717,47883.47425435027,51552.28990120014,55405.14723391314,57109.55828935801
2020-01-01 17:00:00,51651.24715715137,46197.037593031586,47846.67422053438,51546.45838254495,55471.27586262714,57468.248792504965
2020-01-01 18:00:00,49986.40514242324,44282.94209144859,46027.41160561583,50009.58883468223,53723.668575329335,55363.39321984264
2020-01-01 19:00:00,47007.13883468177,41471.335799861496,43316.77611008891,46993.72015259213,50746.076188326675,52691.44560280299
2020-01-01 20:00:00,44024.982672510494,38306.98122927518,40626.698527202134,44312.02668019406,47980.77715641318,49844.15232270702
2020-01-01 21:00:00,40761.61306158264,34760.27111507396,37150.354281863605,40629.31911301121,44337.999779070815,46094.31048253341
2020-01-01 22:00:00,37240.13590134885,31412.33934731012,33577.81919729158,37263.59420119067,40984.9008335335,42913.45309372909
2020-01-01 23:00:00,34797.90367918987,29223.868264744797,31103.121894831962,34998.41051102019,38490.04113698402,40534.39852069766
2020-01-02 00:00:00,43850.977363552964,37888.7158228537,39945.062861058126,43746.79193029399,47612.03493167488,49675.55940053516
2020-01-02 01:00:00,43564.058604784375,38171.78853072621,39819.12851601316,43574.77782510135,47112.73308037068,48810.915836190885
2020-01-02 02:00:00,44184.02746932723,38900.98738040161,40509.79119950519,44065.865077879746,47602.25593081745,49635.96915439324
2020-01-02 03:00:00,46148.47159592185,40216.69757638538,42552.99773181841,46192.751189871255,49851.5581985698,51948.0759377629
2020-01-02 04:00:00,50490.842883882855,45192.33019432478,47021.96080619302,50439.85821753962,54204.099449089874,56156.67061297238
2020-01-02 05:00:00,55673.88618584705,50160.28974316009,52132.13118884724,55802.80180301111,59441.47378702905,61336.407808028634
2020-01-02 06:00:00,59737.305157307,54064.13533894801,55894.06753052617,59794.126641780174,63350.53051400237,65160.94201688155
2020-01-02 07:00:00,61978.10094744703,56039.94804699622,58166.191001596235,61796.08704084951,65215.05902050205,67389.68765287944
