name,nominal_coverage_80,nominal_coverage_95,coverage_80pct,coverage_95pct,pinball_loss_q10,pinball_loss_q50,pinball_loss_q90,mean_width_80_mw,mean_width_95_mw
sarima,0.8,0.95,0.5654761904761905,0.9226190476190477,1755.4901795873684,4082.560947560439,1267.9629949340967,18729.56082271202,28644.391412504894
prophet,0.8,0.95,0.47619047619047616,0.7202380952380952,964.1430262360115,2061.9611441725865,1059.965742266808,7404.687975101244,11282.984434010772
lightgbm,0.8,0.95,0.7916666666666666,0.9761904761904762,470.6273145203225,1213.3277654581107,501.3353538659797,6302.255465663477,9594.074767598839
nbeats,0.8,0.95,0.5,0.7321428571428571,1262.1587751679112,2702.8220796130954,1457.8874581394957,9990.403306415204,15279.00335659356
patchtst,0.8,0.95,0.6428571428571429,0.8333333333333334,1455.0765149654821,2818.1737002418154,1262.0156504566887,13612.983312877206,20819.261380283126
