utc_timestamp,point_mw,q0.025_mw,q0.1_mw,q0.5_mw,q0.9_mw,q0.975_mw
2020-01-01 00:00:00,36922.016,32808.205779157215,34232.13994877434,36922.015625,39611.89130122566,41035.825470842785
2020-01-01 01:00:00,35469.723,28694.851621038928,31039.872592665793,35469.72265625,39899.57271983421,42244.59369146107
2020-01-01 02:00:00,38313.45,33108.05140411713,34909.822534155246,38313.44921875,41717.075903344754,43518.847033382866
2020-01-01 03:00:00,34498.027,28885.21541402217,30828.006888074066,34498.02734375,38168.047799425934,40110.83927347783
2020-01-01 04:00:00,38782.29,29674.518258938588,32827.03783135831,38782.2890625,44737.54029364169,47890.059866061405
2020-01-01 05:00:00,41610.543,31287.024114629814,34860.35681544084,41610.54296875,48360.72912205916,51934.06182287018
2020-01-01 06:00:00,46745.152,35876.57209919482,39638.56970369937,46745.15234375,53851.73498380063,57613.73258830518
2020-01-01 07:00:00,46968.168,37797.75679280378,40971.95839963411,46968.16796875,52964.37753786589,56138.57914469622
2020-01-01 08:00:00,46924.582,38650.52516553033,41514.467042756245,46924.58203125,52334.697019743755,55198.63889696967
2020-01-01 09:00:00,50757.664,44237.85439507782,46494.58966304949,50757.6640625,55020.73846195051,57277.47372992218
2020-01-01 10:00:00,52961.62,45707.77668221447,48218.58717315383,52961.62109375,57704.65501434617,60215.46550528553
2020-01-01 11:00:00,50822.062,43026.115305772735,45724.56662228388,50822.0625,55919.55837771612,58618.009694227265
2020-01-01 12:00:00,51814.37,43998.40221665136,46703.783741276675,51814.37109375,56924.958446223325,59630.33997084863
2020-01-01 13:00:00,45052.52,36386.560784920424,39386.15367661936,45052.51953125,50718.88538588064,53718.47827757957
2020-01-01 14:00:00,51110.35,42788.223900421224,45668.80476973998,51110.3515625,56551.89835526002,59432.479224578776
2020-01-01 15:00:00,46179.04,39224.31884188626,41631.591937473466,46179.0390625,50726.486187526534,53133.75928311373
2020-01-01 16:00:00,50396.52,43303.12611664807,45758.39887841558,50396.51953125,55034.64018408442,57489.91294585193
2020-01-01 17:00:00,48616.965,41788.044547818776,44151.77386817006,48616.96484375,53082.15581932994,55445.885139681224
2020-01-01 18:00:00,50382.223,44464.164997696505,46512.612746513696,50382.22265625,54251.832565986304,56300.28031480349
2020-01-01 19:00:00,50458.387,44246.797657129035,46396.84694086059,50458.38671875,54519.92649663941,56669.975780370965
2020-01-01 20:00:00,46416.56,40985.95440960056,42865.677379122484,46416.55859375,49967.439808377516,51847.16277789944
2020-01-01 21:00:00,43236.676,37650.24489019298,39583.904959585685,43236.67578125,46889.446602914315,48823.10667230702
2020-01-01 22:00:00,41998.55,37315.07759470338,38936.19226765032,41998.55078125,45060.90929484968,46682.02396779662
2020-01-01 23:00:00,39631.75,34190.44161801507,36073.86968661242,39631.75,43189.63031338758,45073.05838198493
2020-01-02 00:00:00,37832.305,32673.917298086162,34459.4164677503,37832.3046875,41205.1929072497,42990.69207691384
2020-01-02 01:00:00,36468.277,31170.338221804115,33004.14115071529,36468.27734375,39932.41353678471,41766.216465695885
2020-01-02 02:00:00,37104.96,30623.07963562239,32866.686563267096,37104.9609375,41343.235311732904,43586.842239377605
2020-01-02 03:00:00,36613.508,30969.283344761156,32922.94780222853,36613.5078125,40304.06782277147,42257.732280238844
2020-01-02 04:00:00,40983.367,30350.34245822741,34030.80602017246,40983.3671875,47935.92835482754,51616.39191677259
2020-01-02 05:00:00,43120.656,34768.616168829045,37659.55077768302,43120.65625,48581.76172231698,51472.696331170955
2020-01-02 06:00:00,46012.426,35353.16165132891,39042.70759203569,46012.42578125,52982.14397046431,56671.68991117108
2020-01-02 07:00:00,45950.39,36809.31191786538,39973.36052633526,45950.390625,51927.42072366474,55091.46933213462
2020-01-02 08:00:00,49174.69,40252.71523548088,43340.924755642896,49174.69140625,55008.458056857104,58096.66757701912
2020-01-02 09:00:00,51693.62,43375.83348863894,46254.91211170763,51693.62109375,57132.33007579237,60011.40869886106
2020-01-02 10:00:00,50649.547,40521.06166358751,44026.88636609934,50649.546875,57272.20738390066,60778.03208641249
2020-01-02 11:00:00,49487.844,41558.50416318429,44303.127274914805,49487.84375,54672.560225085195,57417.18333681571
2020-01-02 12:00:00,55679.473,46304.220361564076,49549.324678837096,55679.47265625,61809.620633662904,65054.724950935924
2020-01-02 13:00:00,51453.91,42450.02414296486,45566.58553838538,51453.91015625,57341.23477411462,60457.79616953514
2020-01-02 14:00:00,47559.664,39065.96394769449,42005.9320729044,47559.6640625,53113.3960520956,56053.36417730551
2020-01-02 15:00:00,50875.484,43585.19257656544,46108.61878907278,50875.484375,55642.34996092722,58165.77617343456
2020-01-02 16:00:00,55551.895,47732.198085928816,50438.86985292326,55551.89453125,60664.91920957674,63371.590976571184
2020-01-02 17:00:00,51308.8,43542.31860222684,46230.57104141267,51308.80078125,56387.03052108733,59075.28296027316
2020-01-02 18:00:00,54782.17,47951.62609135992,50315.91805013584,54782.171875,59248.42569986416,61612.71765864008
2020-01-02 19:00:00,47971.79,41427.22480112952,43692.52850407969,47971.7890625,52251.04962092031,54516.35332387048
2020-01-02 20:00:00,51387.934,44610.169027724834,46956.19155206109,51387.93359375,55819.67563543891,58165.69815977516
2020-01-02 21:00:00,50180.875,44719.91577793863,46610.145692925355,50180.875,53751.604307074645,55641.83422206137
2020-01-02 22:00:00,41746.098,36381.27954840001,38238.23164482908,41746.09765625,45253.96366767092,47110.91576409999
2020-01-02 23:00:00,42588.43,37438.5453644937,39221.10132402953,42588.4296875,45955.75805097047,47738.3140105063
2020-01-03 00:00:00,42563.152,37544.665039842024,39281.73987305185,42563.15234375,45844.56481444815,47581.639647657976
2020-01-03 01:00:00,39470.098,34263.134645769125,36065.44754509985,39470.09765625,42874.74776740015,44677.060666730875
2020-01-03 02:00:00,38719.543,32439.249417660223,34613.07973985169,38719.54296875,42826.00619764831,44999.83651983977
2020-01-03 03:00:00,44470.965,38772.20447384269,40744.74572374301,44470.96484375,48197.18396375699,50169.7252136573
2020-01-03 04:00:00,43759.11,34162.97832658759,37484.53654342318,43759.109375,50033.68220657682,53355.24042341241
2020-01-03 05:00:00,56331.98,45249.696201909785,49085.66427926539,56331.98046875,63578.29665823461,67414.26473559022
2020-01-03 06:00:00,63655.19,52634.43067684832,56449.103295619956,63655.19140625,70861.27951688005,74675.95213565168
2020-01-03 07:00:00,58221.36,48521.53206800319,51878.983204393386,58221.359375,64563.735545606614,67921.18668199681
2020-01-03 08:00:00,59729.223,50858.56538621671,53929.01163120479,59729.22265625,65529.43368129521,68599.87992628329
2020-01-03 09:00:00,59413.668,49319.56730128309,52813.4903046728,59413.66796875,66013.8456328272,69507.7686362169
2020-01-03 10:00:00,62972.72,53985.10866810406,57096.03639164476,62972.71875,68849.40110835523,71960.32883189594
2020-01-03 11:00:00,63421.145,54891.32097867083,57843.79269527108,63421.14453125,68998.49636722893,71950.96808382917
2020-01-03 12:00:00,59772.98,50396.86686176618,53642.26930949677,59772.98046875,65903.69162800323,69149.09407573382
2020-01-03 13:00:00,60247.49,49311.61753491505,53096.90674704501,60247.48828125,67398.06981545499,71183.35902758496
2020-01-03 14:00:00,63171.6,54021.029279815266,57188.36394843965,63171.6015625,69154.83917656034,72322.17384518473
2020-01-03 15:00:00,56832.63,48532.836029069265,51405.68604436726,56832.62890625,62259.57176813274,65132.42178343073
2020-01-03 16:00:00,61592.93,52517.08390276685,55658.55310414884,61592.9296875,67527.30627085116,70668.77547223316
2020-01-03 17:00:00,61993.24,53630.78493439751,56525.32394048346,61993.23828125,67461.15262201654,70355.69162810249
2020-01-03 18:00:00,60365.387,52323.614295608255,55107.15436350129,60365.38671875,65623.6190739987,68407.15914189174
2020-01-03 19:00:00,56880.473,49237.1131561834,51882.74850897225,56880.47265625,61878.19680352775,64523.8321563166
2020-01-03 20:00:00,55618.562,49515.56482185646,51628.02681126624,55618.5625,59609.09818873376,61721.56017814354
2020-01-03 21:00:00,47836.656,41715.76959393604,43834.42358732144,47836.65625,51838.88891267856,53957.54290606395
2020-01-03 22:00:00,45923.99,39348.514871055944,41624.517316731944,45923.98828125,50223.459245768056,52499.46169144405
2020-01-03 23:00:00,44044.83,37002.24160882348,39439.928317411286,44044.828125,48649.727932588714,51087.41464117652
2020-01-04 00:00:00,43798.664,37981.56895299876,39995.07001520805,43798.6640625,47602.25810979195,49615.759172001235
2020-01-04 01:00:00,42947.863,38243.61476357136,39871.92050878283,42947.86328125,46023.80605371717,47652.11179892864
2020-01-04 02:00:00,45605.668,39605.87703670156,41682.61554403345,45605.66796875,49528.72039346655,51605.45890079844
2020-01-04 03:00:00,45155.594,39406.55475320999,41396.49920294271,45155.59375,48914.68829705729,50904.63274679001
2020-01-04 04:00:00,53582.71,44200.185338965195,47447.80720232433,53582.7109375,59717.61467267567,62965.236536034805
2020-01-04 05:00:00,52978.953,41685.49422298957,45594.557263419156,52978.953125,60363.348986580844,64272.41202701043
2020-01-04 06:00:00,60313.574,48809.38569292326,52791.3896623571,60313.57421875,67835.7587751429,71817.76274457674
2020-01-04 07:00:00,61850.87,52396.2670540728,55668.837799145345,61850.87109375,68032.90438835465,71305.4751334272
2020-01-04 08:00:00,61782.94,53464.21401372057,56343.61793024407,61782.94140625,67222.26488225593,70101.66879877943
2020-01-04 09:00:00,60650.867,51800.22394422876,54863.742631151195,60650.8671875,66437.9917438488,69501.51043077125
2020-01-04 10:00:00,70714.22,61793.20150692253,64881.079108508464,70714.21875,76547.35839149154,79635.23599307747
2020-01-04 11:00:00,62557.66,53646.982488801914,56731.281199872785,62557.66015625,68384.03911262722,71468.3378236981
2020-01-04 12:00:00,61806.21,53196.9083571122,56176.890558568484,61806.2109375,67435.53131643152,70415.5135178878
2020-01-04 13:00:00,57723.77,47291.838255207615,50902.696305456455,57723.76953125,64544.842757043545,68155.70080729238
2020-01-04 14:00:00,62082.344,52720.89254936732,55961.21982294194,62082.34375,68203.46767705807,71443.79495063267
2020-01-04 15:00:00,60783.203,52660.1524883607,55471.82580251001,60783.203125,66094.58044748999,68906.25376163931
2020-01-04 16:00:00,63203.715,55051.78440576232,57873.45403415384,63203.71484375,68533.97565334616,71355.64528173767
2020-01-04 17:00:00,63720.59,56361.814626003084,58908.94535681956,63720.58984375,68532.23433068044,71079.36506149691
2020-01-04 18:00:00,62372.047,55056.72103462716,57588.81240888367,62372.046875,67155.28134111632,69687.37271537284
2020-01-04 19:00:00,56437.13,49188.41456646209,51697.44935927058,56437.12890625,61176.80845322942,63685.84324603791
2020-01-04 20:00:00,52675.406,45989.893973161226,48303.98473795574,52675.40625,57046.82776204426,59360.918526838774
2020-01-04 21:00:00,52649.926,47127.25688259238,49038.846685467506,52649.92578125,56261.004877032494,58172.59467990762
2020-01-04 22:00:00,50477.906,44965.83388514063,46873.75585524754,50477.90625,54082.05664475246,55989.97861485937
2020-01-04 23:00:00,48578.812,42306.08749147455,44477.29807508416,48578.8125,52680.32692491584,54851.53750852545
2020-01-05 00:00:00,44681.945,39452.16518223426,41262.37588864198,44681.9453125,48101.51473635802,49911.72544276574
