utc_timestamp,DE_load_forecast
2020-01-01 00:00:00+00:00,41506.7
2020-01-01 01:00:00+00:00,40237.3
2020-01-01 02:00:00+00:00,39046.3
2020-01-01 03:00:00+00:00,38792.0
2020-01-01 04:00:00+00:00,38471.2
2020-01-01 05:00:00+00:00,37679.2
2020-01-01 06:00:00+00:00,38185.7
2020-01-01 07:00:00+00:00,38984.0
2020-01-01 08:00:00+00:00,41485.9
2020-01-01 09:00:00+00:00,43934.3
2020-01-01 10:00:00+00:00,46536.8
2020-01-01 11:00:00+00:00,47393.9
2020-01-01 12:00:00+00:00,46208.7
2020-01-01 13:00:00+00:00,45811.6
2020-01-01 14:00:00+00:00,46196.5
2020-01-01 15:00:00+00:00,48279.7
2020-01-01 16:00:00+00:00,51820.0
2020-01-01 17:00:00+00:00,52429.2
2020-01-01 18:00:00+00:00,51513.6
2020-01-01 19:00:00+00:00,49126.3
2020-01-01 20:00:00+00:00,47436.9
2020-01-01 21:00:00+00:00,46920.2
2020-01-01 22:00:00+00:00,44051.0
2020-01-01 23:00:00+00:00,41608.3
2020-01-02 00:00:00+00:00,43758.7
2020-01-02 01:00:00+00:00,42990.1
2020-01-02 02:00:00+00:00,43141.2
2020-01-02 03:00:00+00:00,44047.6
2020-01-02 04:00:00+00:00,46441.0
2020-01-02 05:00:00+00:00,52154.2
2020-01-02 06:00:00+00:00,57542.3
2020-01-02 07:00:00+00:00,60032.6
2020-01-02 08:00:00+00:00,60366.5
2020-01-02 09:00:00+00:00,61003.3
2020-01-02 10:00:00+00:00,61764.0
2020-01-02 11:00:00+00:00,61535.2
2020-01-02 12:00:00+00:00,60891.2
2020-01-02 13:00:00+00:00,59977.4
2020-01-02 14:00:00+00:00,59501.2
2020-01-02 15:00:00+00:00,59910.8
2020-01-02 16:00:00+00:00,62202.1
2020-01-02 17:00:00+00:00,61860.5
2020-01-02 18:00:00+00:00,60359.5
2020-01-02 19:00:00+00:00,57039.3
2020-01-02 20:00:00+00:00,54165.7
2020-01-02 21:00:00+00:00,52212.5
2020-01-02 22:00:00+00:00,48716.3
2020-01-02 23:00:00+00:00,45732.8
2020-01-03 00:00:00+00:00,46345.5
2020-01-03 01:00:00+00:00,45669.4
2020-01-03 02:00:00+00:00,45845.8
2020-01-03 03:00:00+00:00,46888.4
2020-01-03 04:00:00+00:00,49484.3
2020-01-03 05:00:00+00:00,55911.3
2020-01-03 06:00:00+00:00,61868.2
2020-01-03 07:00:00+00:00,64495.3
2020-01-03 08:00:00+00:00,65169.9
2020-01-03 09:00:00+00:00,65748.5
2020-01-03 10:00:00+00:00,66437.0
2020-01-03 11:00:00+00:00,66144.8
2020-01-03 12:00:00+00:00,64962.6
2020-01-03 13:00:00+00:00,63369.8
2020-01-03 14:00:00+00:00,62699.0
2020-01-03 15:00:00+00:00,63392.2
2020-01-03 16:00:00+00:00,65571.0
2020-01-03 17:00:00+00:00,65044.9
2020-01-03 18:00:00+00:00,62991.3
2020-01-03 19:00:00+00:00,58961.6
2020-01-03 20:00:00+00:00,55866.5
2020-01-03 21:00:00+00:00,53890.1
2020-01-03 22:00:00+00:00,50528.0
2020-01-03 23:00:00+00:00,47389.8
2020-01-04 00:00:00+00:00,46770.2
2020-01-04 01:00:00+00:00,45471.7
2020-01-04 02:00:00+00:00,44942.5
2020-01-04 03:00:00+00:00,44883.1
2020-01-04 04:00:00+00:00,44694.3
2020-01-04 05:00:00+00:00,45353.7
2020-01-04 06:00:00+00:00,48127.7
2020-01-04 07:00:00+00:00,51772.7
2020-01-04 08:00:00+00:00,54842.6
2020-01-04 09:00:00+00:00,56953.7
2020-01-04 10:00:00+00:00,58256.3
2020-01-04 11:00:00+00:00,58131.2
2020-01-04 12:00:00+00:00,56588.0
2020-01-04 13:00:00+00:00,55269.6
2020-01-04 14:00:00+00:00,54800.5
2020-01-04 15:00:00+00:00,55882.6
2020-01-04 16:00:00+00:00,59027.4
2020-01-04 17:00:00+00:00,59270.5
2020-01-04 18:00:00+00:00,57354.5
2020-01-04 19:00:00+00:00,53620.1
2020-01-04 20:00:00+00:00,51129.9
2020-01-04 21:00:00+00:00,50138.5
2020-01-04 22:00:00+00:00,46983.6
2020-01-04 23:00:00+00:00,43917.8
2020-01-05 00:00:00+00:00,41835.1
2020-01-05 01:00:00+00:00,40641.9
2020-01-05 02:00:00+00:00,40220.8
2020-01-05 03:00:00+00:00,40161.4
2020-01-05 04:00:00+00:00,39498.7
2020-01-05 05:00:00+00:00,38687.8
2020-01-05 06:00:00+00:00,40439.8
2020-01-05 07:00:00+00:00,43517.8
2020-01-05 08:00:00+00:00,47525.3
2020-01-05 09:00:00+00:00,50688.3
2020-01-05 10:00:00+00:00,53587.2
2020-01-05 11:00:00+00:00,53636.7
2020-01-05 12:00:00+00:00,52125.2
2020-01-05 13:00:00+00:00,50961.0
2020-01-05 14:00:00+00:00,50691.5
2020-01-05 15:00:00+00:00,51960.3
2020-01-05 16:00:00+00:00,55698.3
2020-01-05 17:00:00+00:00,56840.6
2020-01-05 18:00:00+00:00,55558.6
2020-01-05 19:00:00+00:00,53218.5
2020-01-05 20:00:00+00:00,51523.6
2020-01-05 21:00:00+00:00,51569.7
2020-01-05 22:00:00+00:00,48808.3
2020-01-05 23:00:00+00:00,46216.9
2020-01-06 00:00:00+00:00,40793.5
2020-01-06 01:00:00+00:00,40231.8
2020-01-06 02:00:00+00:00,40711.8
2020-01-06 03:00:00+00:00,42091.2
2020-01-06 04:00:00+00:00,45785.0
2020-01-06 05:00:00+00:00,53603.2
2020-01-06 06:00:00+00:00,59977.9
2020-01-06 07:00:00+00:00,62734.6
2020-01-06 08:00:00+00:00,63702.6
2020-01-06 09:00:00+00:00,64574.9
2020-01-06 10:00:00+00:00,64935.0
2020-01-06 11:00:00+00:00,64348.3
2020-01-06 12:00:00+00:00,64007.7
2020-01-06 13:00:00+00:00,63224.8
2020-01-06 14:00:00+00:00,62671.6
2020-01-06 15:00:00+00:00,63159.8
2020-01-06 16:00:00+00:00,65653.0
2020-01-06 17:00:00+00:00,65218.6
2020-01-06 18:00:00+00:00,63361.0
2020-01-06 19:00:00+00:00,59790.7
2020-01-06 20:00:00+00:00,56882.0
2020-01-06 21:00:00+00:00,54460.3
2020-01-06 22:00:00+00:00,50409.2
2020-01-06 23:00:00+00:00,47380.8
2020-01-07 00:00:00+00:00,48940.5
2020-01-07 01:00:00+00:00,48174.4
2020-01-07 02:00:00+00:00,48570.6
2020-01-07 03:00:00+00:00,50017.5
2020-01-07 04:00:00+00:00,52978.9
2020-01-07 05:00:00+00:00,60390.0
2020-01-07 06:00:00+00:00,66957.6
2020-01-07 07:00:00+00:00,69320.0
2020-01-07 08:00:00+00:00,69218.4
2020-01-07 09:00:00+00:00,69567.8
2020-01-07 10:00:00+00:00,69998.8
2020-01-07 11:00:00+00:00,69711.4
2020-01-07 12:00:00+00:00,69254.6
2020-01-07 13:00:00+00:00,68103.2
2020-01-07 14:00:00+00:00,67589.5
2020-01-07 15:00:00+00:00,68171.1
2020-01-07 16:00:00+00:00,70781.3
2020-01-07 17:00:00+00:00,70502.5
2020-01-07 18:00:00+00:00,68693.9
2020-01-07 19:00:00+00:00,64761.7
2020-01-07 20:00:00+00:00,61410.7
2020-01-07 21:00:00+00:00,58511.6
2020-01-07 22:00:00+00:00,54659.9
2020-01-07 23:00:00+00:00,50842.2
