alpha,level_adj,winter_MAPE,winter_n,jan_MAPE_holdout
0.1,True,2.9948350085423914,449,3.6499292555024407
0.1,False,3.06645099339307,449,3.727351717459534
0.3,True,2.994040593314405,449,3.6493795185711186
0.3,False,3.0653926861323524,449,3.726950107998173
1.0,True,2.9912900579589925,449,3.647456407453167
1.0,False,3.0617302967276117,449,3.7255449974904877
3.0,True,2.9837622202610237,449,3.641970135898974
3.0,False,3.0516054308481193,449,3.721637368176103
10.0,True,2.960729490260525,449,3.622866610494345
10.0,False,3.0196543589208678,449,3.708968266355198
30.0,True,2.9224222751571953,449,3.576048624060333
30.0,False,2.9564358863517115,449,3.6771930070942864
100.0,True,3.0305885582249403,449,3.475102127201184
100.0,False,3.000474573504268,449,3.630208479348846
300.0,True,4.092498501466124,449,3.715218916863987
300.0,False,4.109168574464756,449,3.961038792323137
