utc_timestamp,point_mw,q0.025_mw,q0.1_mw,q0.5_mw,q0.9_mw,q0.975_mw
2020-01-01 00:00:00+00:00,41589.582672063254,37678.40581392166,39431.197690611145,41589.582672063254,44556.59179426323,44794.326612630444
2020-01-01 01:00:00+00:00,41228.37724439773,37386.63606679286,38803.10603409736,41228.37724439773,44302.4219529522,44695.095363799606
2020-01-01 02:00:00+00:00,41603.839443019184,37369.89156131639,39194.492151964514,41603.839443019184,44837.048166155386,44883.72874895094
2020-01-01 03:00:00+00:00,41905.70715387384,37182.45547184747,38892.92093711023,41905.70715387384,46133.76657427396,48032.63417138084
2020-01-01 04:00:00+00:00,42243.357490133945,37531.25710204945,38881.72525211168,42243.357490133945,45979.02550909579,48998.41417506099
2020-01-01 05:00:00+00:00,42318.942191015114,37483.88236385396,39004.541222136526,42318.942191015114,46637.90018926568,49963.80631355869
2020-01-01 06:00:00+00:00,41909.75696994662,37319.9909881984,38972.06961277845,41909.75696994662,46928.73922210053,50020.54736010569
2020-01-01 07:00:00+00:00,42263.125739519644,38286.445665695086,39418.59765255892,42263.125739519644,47561.74308965681,50208.110528724836
2020-01-01 08:00:00+00:00,45105.41525653713,41118.296238007715,41717.52175279594,45105.41525653713,48371.378958099995,50057.55417350986
2020-01-01 09:00:00+00:00,46719.87416016491,42346.355591073625,43729.74513616018,46719.87416016491,48659.83580370363,50396.43949858854
2020-01-01 10:00:00+00:00,48541.920527712056,44350.229724944315,45324.7044979087,48541.920527712056,48927.01972449002,51472.0711708593
2020-01-01 11:00:00+00:00,47724.5399934029,44853.41322320453,45755.84665235658,47724.5399934029,49621.121577311926,51674.571776804594
2020-01-01 12:00:00+00:00,46297.847904787195,43137.04454713586,43473.99421049309,46297.847904787195,49557.951117606266,50603.14674849787
2020-01-01 13:00:00+00:00,45932.35257964334,41912.95887512131,42978.794309860714,45932.35257964334,49091.9625971527,51013.7978721799
2020-01-01 14:00:00+00:00,45513.08496814269,42024.354816546875,43220.66916799195,45513.08496814269,49684.66549682771,51952.568007612426
2020-01-01 15:00:00+00:00,45413.04006710568,42185.445666665815,44508.99489125197,45413.04006710568,50997.67208144676,52788.89962314733
2020-01-01 16:00:00+00:00,48670.09602961033,44268.062036218056,45362.99046671198,48670.09602961033,51727.28396829273,52424.534543107235
