utc_timestamp,point_mw,q0.025_mw,q0.1_mw,q0.5_mw,q0.9_mw,q0.975_mw
2020-01-01 00:00:00+00:00,41405.883470053275,39532.31416330874,40180.822347933616,41405.883470053275,42630.944592172935,43279.45277679781
2020-01-01 01:00:00+00:00,40971.15172809238,37538.5927752506,38726.72206788573,40971.15172809238,43215.58138829903,44403.71068093416
2020-01-01 02:00:00+00:00,41122.74344829821,36384.68924786009,38024.6963279928,41122.74344829821,44220.790568603625,45860.797648736334
2020-01-01 03:00:00+00:00,41954.686632925266,36209.39836330936,38198.04455454588,41954.686632925266,45711.32871130465,47699.97490254117
2020-01-01 04:00:00+00:00,42969.355767475114,36494.88706485771,38735.92823137883,42969.355767475114,47202.7833035714,49443.82447009252
2020-01-01 05:00:00+00:00,43666.81770802004,36693.827683415635,39107.4246002657,43666.81770802004,48226.21081577438,50639.807732624446
2020-01-01 06:00:00+00:00,46459.61306605587,39164.53919974675,41689.62065401372,46459.61306605587,51229.60547809802,53754.68693236499
2020-01-01 07:00:00+00:00,49121.689000854596,41630.5446405809,44223.49298380775,49121.689000854596,54019.88501790144,56612.833361128294
2020-01-01 08:00:00+00:00,51596.74736271989,43993.82821013568,46625.465737363986,51596.74736271989,56568.0289880758,59199.6665153041
2020-01-01 09:00:00+00:00,52512.08264992098,44850.09619498989,47502.17899151129,52512.08264992098,57521.98630833067,60174.06910485206
2020-01-01 10:00:00+00:00,53294.73774668963,45604.29585393792,48266.228077570086,53294.73774668963,58323.24741580917,60985.17963944134
2020-01-01 11:00:00+00:00,53631.614384732355,45929.03748054665,48595.17005812736,53631.614384732355,58668.05871133735,61334.19128891806
2020-01-01 12:00:00+00:00,51887.16090515489,44180.26252617308,46847.89091806119,51887.16090515489,56926.43089224859,59594.05928413669
2020-01-01 13:00:00+00:00,50901.77374542078,43193.76143281911,45861.77539628282,50901.77374542078,55941.77209455874,58609.78605802245
2020-01-01 14:00:00+00:00,50879.103192547314,43170.97164430064,45839.026879411686,50879.103192547314,55919.17950568294,58587.23474079398
2020-01-01 15:00:00+00:00,52670.202890239794,44962.057588572316,47630.11758422568,52670.202890239794,57710.28819625391,60378.34819190727
2020-01-01 16:00:00+00:00,55254.902378040286,47546.603543953854,50214.71668257339,55254.902378040286,60295.088073507184,62963.20121212672
2020-01-01 17:00:00+00:00,54713.808938152404,47005.22966449797,49673.43987310818,54713.808938152404,59754.17800319663,62422.388211806836
2020-01-01 18:00:00+00:00,52420.665253187646,44711.758117913756,47380.08181095333,52420.665253187646,57461.248695421964,60129.57238846153
2020-01-01 19:00:00+00:00,49668.974518807794,41959.760287784724,44628.19027745613,49668.974518807794,54709.75876015946,57378.188749830864
2020-01-01 20:00:00+00:00,47906.08618886283,40196.62247582674,42865.13881999103,47906.08618886283,52947.03355773463,55615.549901898914
2020-01-01 21:00:00+00:00,47288.629888403484,39578.98397659344,42247.56338615686,47288.629888403484,52329.69639065011,54998.27580021352
2020-01-01 22:00:00+00:00,45317.90041994231,37608.13278641134,40276.75432814035,45317.90041994231,50359.046511744265,53027.668053473266
2020-01-01 23:00:00+00:00,43222.0316984585,35512.189120439936,38180.836603090065,43222.0316984585,48263.226793826936,50931.87427647706
2020-01-02 00:00:00+00:00,41988.21555520995,34154.56683120635,36866.06797221282,41988.21555520995,47110.36313820708,49821.86427921354
2020-01-02 01:00:00+00:00,41324.74271746904,33201.30484543298,36013.1121953627,41324.74271746904,46636.373239575376,49448.1805895051
2020-01-02 02:00:00+00:00,41269.52982013228,32784.6181762522,35721.54430279947,41269.52982013228,46817.51533746509,49754.44146401236
2020-01-02 03:00:00+00:00,41947.11466847662,33117.694636127606,36173.867223849156,41947.11466847662,47720.362113104085,50776.534700825636
2020-01-02 04:00:00+00:00,42798.49048572112,33687.8017873959,36841.3313457443,42798.49048572112,48755.649625697944,51909.17918404634
2020-01-02 05:00:00+00:00,43293.04082247918,33975.9447704341,37200.91916819795,43293.04082247918,49385.162476760415,52610.136874524265
2020-01-02 06:00:00+00:00,45949.82060605745,36493.61018494774,39766.73695509119,45949.82060605745,52132.904257023714,55406.031027167155
2020-01-02 07:00:00+00:00,48543.017451747844,38999.95744517015,42303.14590921758,48543.017451747844,54782.88899427811,58086.07745832554
2020-01-02 08:00:00+00:00,50988.38425977458,41395.06803558515,44715.65194282872,50988.38425977458,57261.116576720444,60581.700483964014
2020-01-02 09:00:00+00:00,51969.22526039279,42349.11329712953,45678.97215141664,51969.22526039279,58259.478369368946,61589.337223656046
2020-01-02 10:00:00+00:00,52754.68436907922,43121.590225600274,46455.94266872545,52754.68436907922,59053.42606943299,62387.77851255817
2020-01-02 11:00:00+00:00,53028.675011040505,43390.02010484735,46726.29732338379,53028.675011040505,59331.05269869722,62667.32991723366
2020-01-02 12:00:00+00:00,51213.43630224022,41572.791292576294,44909.75735586719,51213.43630224022,57517.11524861325,60854.081311904134
2020-01-02 13:00:00+00:00,50116.577178450374,40475.41463158552,43812.559832690764,50116.577178450374,56420.594524209984,59757.73972531523
2020-01-02 14:00:00+00:00,50019.691464826676,40378.4717454844,43715.63673599344,50019.691464826676,56323.746193659914,59660.91118416895
2020-01-02 15:00:00+00:00,51767.93512584611,42126.70990019021,45463.87679662792,51767.93512584611,58071.9934550643,61409.160351502
2020-01-02 16:00:00+00:00,54210.22450725738,44568.9313814647,47906.12178052613,54210.22450725738,60514.327233988624,63851.517633050054
2020-01-02 17:00:00+00:00,53562.96671640497,43921.54792233594,47258.78181960449,53562.96671640497,59867.151613205446,63204.38551047399
2020-01-02 18:00:00+00:00,51183.03540440131,41541.46887900293,44878.75391127666,51183.03540440131,57487.316897525954,60824.60192979968
2020-01-02 19:00:00+00:00,48420.23022447317,38778.52487590078,42115.85795975405,48420.23022447317,54724.602489192286,58061.93557304556
2020-01-02 20:00:00+00:00,46655.58935036675,37013.770965804106,40351.14317538631,46655.58935036675,52960.035525347186,56297.40773492939
2020-01-02 21:00:00+00:00,46081.235152181114,36439.33406680719,39776.73490204674,46081.235152181114,52385.73540231549,55723.13623755504
2020-01-02 22:00:00+00:00,44197.216486061814,34555.26006295049,37892.68005252583,44197.216486061814,50501.7529195978,53839.17290917314
2020-01-02 23:00:00+00:00,42196.59566146326,32554.605115151724,35892.03691596593,42196.59566146326,48501.15440696059,51838.586207774795
2020-01-03 00:00:00+00:00,41021.20047460465,31262.1839098653,34640.12252859722,41021.20047460465,47402.278420612085,50780.217039344
2020-01-03 01:00:00+00:00,40398.11277801234,30365.074026291706,33837.86135458908,40398.11277801234,46958.36420143561,50431.151529732975
2020-01-03 02:00:00+00:00,40377.21204036393,29999.904413147735,33591.85529876149,40377.21204036393,47162.568781966365,50754.51966758011
2020-01-03 03:00:00+00:00,41074.08571255903,30366.039243732273,34072.47046641479,41074.08571255903,48075.700958703266,51782.13218138578
2020-01-03 04:00:00+00:00,41943.26762730107,30963.41126792223,34763.92544662376,41943.26762730107,49122.609807978384,52923.123986679915
2020-01-03 05:00:00+00:00,42460.04809586359,31279.784459574723,35149.666640232026,42460.04809586359,49770.42955149515,53640.311732152455
2020-01-03 06:00:00+00:00,45115.588839408876,33799.8430348379,37716.62035552839,45115.588839408876,52514.557323289366,56431.334643979855
