utc_timestamp,forecast_DE_load_actual_entsoe_transparency_MW
2020-01-01T00:00:00+00:00,38952.0
2020-01-01T01:00:00+00:00,38011.9
2020-01-01T02:00:00+00:00,37723.1
2020-01-01T03:00:00+00:00,38101.4
2020-01-01T04:00:00+00:00,39298.4
2020-01-01T05:00:00+00:00,41217.7
2020-01-01T06:00:00+00:00,43803.3
2020-01-01T07:00:00+00:00,46152.0
2020-01-01T08:00:00+00:00,48644.5
2020-01-01T09:00:00+00:00,50126.0
2020-01-01T10:00:00+00:00,51364.6
2020-01-01T11:00:00+00:00,51347.6
2020-01-01T12:00:00+00:00,49666.2
2020-01-01T13:00:00+00:00,48542.4
2020-01-01T14:00:00+00:00,48107.4
2020-01-01T15:00:00+00:00,48932.6
2020-01-01T16:00:00+00:00,51077.9
2020-01-01T17:00:00+00:00,51021.1
2020-01-01T18:00:00+00:00,49494.5
2020-01-01T19:00:00+00:00,47147.6
2020-01-01T20:00:00+00:00,45327.7
2020-01-01T21:00:00+00:00,44201.8
2020-01-01T22:00:00+00:00,42061.2
2020-01-01T23:00:00+00:00,39675.4
2020-01-02T00:00:00+00:00,44410.6
2020-01-02T01:00:00+00:00,43562.1
2020-01-02T02:00:00+00:00,43455.1
2020-01-02T03:00:00+00:00,44259.2
2020-01-02T04:00:00+00:00,45563.5
2020-01-02T05:00:00+00:00,48400.1
2020-01-02T06:00:00+00:00,51879.3
2020-01-02T07:00:00+00:00,54586.4
2020-01-02T08:00:00+00:00,57065.0
2020-01-02T09:00:00+00:00,58450.9
2020-01-02T10:00:00+00:00,59496.8
2020-01-02T11:00:00+00:00,59316.0
2020-01-02T12:00:00+00:00,57806.8
2020-01-02T13:00:00+00:00,56683.8
2020-01-02T14:00:00+00:00,56476.3
2020-01-02T15:00:00+00:00,57919.9
2020-01-02T16:00:00+00:00,60204.7
2020-01-02T17:00:00+00:00,60079.9
2020-01-02T18:00:00+00:00,58504.4
2020-01-02T19:00:00+00:00,55638.0
2020-01-02T20:00:00+00:00,53696.4
2020-01-02T21:00:00+00:00,52194.7
2020-01-02T22:00:00+00:00,48802.2
2020-01-02T23:00:00+00:00,45633.4
2020-01-03T00:00:00+00:00,45859.6
2020-01-03T01:00:00+00:00,44935.7
2020-01-03T02:00:00+00:00,45045.9
2020-01-03T03:00:00+00:00,46190.1
2020-01-03T04:00:00+00:00,48240.3
2020-01-03T05:00:00+00:00,52051.8
2020-01-03T06:00:00+00:00,56555.3
2020-01-03T07:00:00+00:00,59521.4
2020-01-03T08:00:00+00:00,61466.9
2020-01-03T09:00:00+00:00,62414.1
2020-01-03T10:00:00+00:00,62986.3
